id,created_at,text,year,month,day,CEO,company,dei_score
1633868613613662208,2023-03-09 16:33:27+00:00,Happy to be here at Lake Nona Institute Forum hearing from Dr. Montgomery Rice with her take on Health Equity including her work with the Common Spirit alliance to create 7 new medical campuses around the country  expanding the pipeline of medical staff. LNIF23 HealthEquity https:t.co2h8z8j9XyO,2023,3,9,Michael J. Farrell,ResMed,
1636023459946934278,2023-03-15 15:16:03+00:00,"The Deep Sea is a trove of biodiversity critical in regulating our climate amp; it faces threats from pollution, warming, acidification amp; seabed mining. Lets prioritize protecting our oceans amp; their resources for the sake of humanity amp; our planet. DivaAmon https:t.co0gUF3wG1Tz",2023,3,15,Marc Benioff,Salesforce,
1633565557441044481,2023-03-08 20:29:13+00:00,"On International Womens Day were celebrating salesforces core value of equality amp; gender equality.  My shero Billie Jean King was on MSNBC today saying how every human being deserves to be represented, and we do not understand inclusion unless we have been excluded! https:t.coghtMTAWHYb",2023,3,8,Marc Benioff,Salesforce,
1633280951580246016,2023-03-08 01:38:18+00:00,Gender equality means 1 equal opportunity 2  equal advancement 3 equal pay for equal work 4 a womans right to reproductive health care amp; 5 zero tolerance for sexual harassment amp; fierce advocation for victims of abuse.  We have no choice but fight for equalityforall. https:t.coAlDkPDWBlv,2023,3,8,Marc Benioff,Salesforce,
1540413271379005442,2022-06-24 19:15:18+00:00,"I believe CEOs have a responsibility to take care of their employeesno matter what. Salesforce moves employees when they feel threatened or experience discrimination. To our Ohanawe always make sure you have the best benefits amp; care, amp; we will always have your back. Always. ",2022,6,24,Marc Benioff,Salesforce,
1529491679522308097,2022-05-25 15:56:47+00:00,Restoring our biodiversity is critical for the future of our planet amp; ourselves.  We have deforested 12 of the trees on our planet from 6 trillion trees to 3 trillion trees.  Thats why we created 1torg to plant restore and conserve 1 Trillion Trees. Join us amp; be a Lorax.  https:t.co3IffJg97ye,2022,5,25,Marc Benioff,Salesforce,
1514413773435506689,2022-04-14 01:22:34+00:00,"Salesforce is net zero now amp; is 100 renewable. Today in Palau we give 11M to 12 global nonprofits  American Forests, Ocean Foundation, NFWF, restor, amp; World Resources Inst  to enhance natural carbon sinks, protect biodiversity, amp; ocean jobs.  teamearthOurOceanPalau https:t.coXLDD1kO4ny",2022,4,14,Marc Benioff,Salesforce,
1514260237712343045,2022-04-13 15:12:28+00:00,"Salesforce is net zero now amp; is 100 renewable. Today we give 11M to 12 global nonprofits  American Forests, Ocean Foundation, amp; World Resources Institute  to enhance natural carbon sinks, protect biodiversity, amp; green job creation  teamearth https:t.couCXy4hoLYF",2022,4,13,Marc Benioff,Salesforce,
1503849591577489420,2022-03-15 21:44:17+00:00,"salesforce spent 4M last year balancing equal pay for women amp; men, and since 2015 we have spent 16M creating equal pay. we are committed to continually auditing our global payroll to make sure that we have equality for all! equalpayday2022 EqualPayDay https:t.coJ2wT3xmL5Q",2022,3,15,Marc Benioff,Salesforce,
1503786365565157386,2022-03-15 17:33:03+00:00,"salesforce spent 4M last year balancing equal pay for women amp; men, and since 2015 we have spent 16M creating equal pay. we are committed to continually auditing our global payroll to make sure that we have equality for all! equalpayday2022 EqualPayDay https:t.coG7ud6YIjJA",2022,3,15,Marc Benioff,Salesforce,
1483268303992672258,2022-01-18 02:41:36+00:00,Humbled by Dr. BerniceKing amp; TheKingCenter in 2022 Salute To Greatness Corporate Social Impact Award. Business is the Greatest Platform For Change amp; will always remember our responsibilities to the communities We serve amp; the Equality amp; Dignity of All. https:t.coHSaRvHRoCg https:t.conacLiHqamI,2022,1,18,Marc Benioff,Salesforce,
1482590846482403329,2022-01-16 05:49:37+00:00,Humbled by Dr. BerniceKing amp; TheKingCenter in 2022 Salute To Greatness Corporate Social Impact Award. Business is the Greatest Platform For Change amp; will always remember our responsibilities to the communities We serve amp; the Equality amp; Dignity of All. My comments 1:25:30.  https:t.coP9xx82VUW5,2022,1,16,Marc Benioff,Salesforce,
1456792694517231618,2021-11-06 01:16:58+00:00,How do folks who have been climate experts for multiple decades not include biodiversity as part of the solution for our significant climate crisis? ZacGoldsmith is right to call this out as a moral hazard in the COP26 narrative. Treedom! https:t.coSfPaam7koZ,2021,11,6,Marc Benioff,Salesforce,
1456649326067961862,2021-11-05 15:47:17+00:00,"COP26: Nothing is more important than reducing emissionsevery company, country, amp; individual go Net Zero now. We must nurture biodiversity to sequester 200GT of carbon1 Trillion Trees is critical. And new solutions from Ecopreneurs are accelerating our progress lt;1.5C.  https:t.co969hUJvlAC",2021,11,5,Marc Benioff,Salesforce,
1456641037414379525,2021-11-05 15:14:21+00:00,"Nothing is more important than reducing emissionsevery company, country, amp; individual going Net Zero. We must return biodiversity to sequester 200GT of carbon which is why 1 Trillion Trees is critical. And new solutions from Ecopreneurs accelerating our progress.  BTeamHQ https:t.coB9GKR0n6dk",2021,11,5,Marc Benioff,Salesforce,
1456175730715365381,2021-11-04 08:25:23+00:00,Whose helping improve the world? I found a brotherhood of Ecopreneurs! From 1 Trillion Trees to satellites looking at Carbon amp; Methane to algorithms quantifying forests for biodiversity to sustainability clouds to mindfulness practices to keep us aligned with Mother Earth!  https:t.coFgtWGaEf96,2021,11,4,Marc Benioff,Salesforce,
