rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link,
1,Walmart,"$559,151",6.70%,"$13,510",-9.20%,"$252,496","$382,642.8",-,"2,300,000",-,20,View More details about Walmart
2,Amazon,"$386,064",37.60%,"$21,331",84.10%,"$321,195","$1,558,069.6",-,"1,298,000",-,11,View More details about Amazon
3,Apple,"$274,515",5.50%,"$57,411",3.90%,"$323,888","$2,050,665.9",1,"147,000",1,188,View More details about Apple
4,CVS Health,"$268,706",4.60%,"$7,179",8.20%,"$230,715","$98,653.2",1,"256,500",1,57,View More details about CVS Health
5,UnitedHealth Group,"$257,141",6.20%,"$15,403",11.30%,"$197,289","$351,725",2,"330,000",2,25,View More details about UnitedHealth Group
6,Berkshire Hathaway,"$245,510",-3.60%,"$42,521",-47.80%,"$873,729","$587,823",-,"360,000",-,-,View More details about Berkshire Hathaway
7,McKesson,"$231,051",7.80%,$900,2547.10%,"$61,247","$31,044",1,"70,000",1,205,View More details about McKesson
8,Cencora,"$189,893.9",5.70%,"$-3,408.7",-498.50%,"$44,274.8","$24,169.7",2,"21,500",2,120,View More details about Cencora
9,Alphabet,"$182,527",12.80%,"$40,269",17.30%,"$319,616","$1,392,561.8",2,"135,301",2,215,View More details about Alphabet
10,ExxonMobil Holdings,"$181,502",-31.50%,"$-22,440",-256.50%,"$332,750","$236,355.4",-7,"72,000",-7,327,View More details about ExxonMobil Holdings
11,AT&T,"$171,760",-5.20%,"$-5,176",-137.20%,"$525,761","$215,878.5",-2,"230,760",-2,26,View More details about AT&T
12,Costco Wholesale,"$166,761",9.20%,"$4,002",9.40%,"$55,556","$155,984.3",2,"214,500",2,123,View More details about Costco Wholesale
13,Cigna Group,"$160,401",4.50%,"$8,458",65.70%,"$155,451","$83,976.1",-,"72,963",-,179,View More details about Cigna Group
14,Cardinal Health,"$152,922",5.10%,"$-3,696",-371.20%,"$40,766","$17,840.3",2,"48,000",2,64,View More details about Cardinal Health
15,Microsoft,"$143,015",13.60%,"$44,281",12.80%,"$301,311","$1,778,228.2",6,"163,000",6,1,View More details about Microsoft
16,Walgreens Boots Alliance,"$139,537",2%,$456,-88.50%,"$87,174","$47,455.3",3,"277,000",3,19,View More details about Walgreens Boots Alliance
17,Kroger,"$132,498",8.40%,"$2,585",55.80%,"$48,662","$27,064.3",6,"465,000",6,190,View More details about Kroger
18,Home Depot,"$132,110",19.90%,"$12,866",14.40%,"$70,581","$328,775.4",8,"504,800",8,66,View More details about Home Depot
19,JPMorgan Chase,"$129,503",-9.10%,"$29,131",-20%,"$3,386,071","$464,530.8",-2,"255,351",-2,54,View More details about JPMorgan Chase
20,Verizon Communications,"$128,292",-2.70%,"$17,801",-7.60%,"$316,481","$240,633.3",-,"132,200",-,7,View More details about Verizon Communications
21,Ford Motor,"$127,144",-18.40%,"$-1,279",-2821.30%,"$267,261","$48,739",-9,"186,000",-9,207,View More details about Ford Motor
22,General Motors,"$122,485",-10.70%,"$6,427",-4.50%,"$235,194","$82,794.9",-4,"155,000",-4,156,View More details about General Motors
23,Elevance Health,"$121,867",16.90%,"$4,572",-4.90%,"$86,615","$87,908.9",6,"83,400",6,18,View More details about Elevance Health
24,Centene,"$111,115",48.90%,"$1,808",36.90%,"$68,719","$37,169.6",18,"71,300",18,2,View More details about Centene
25,Fannie Mae,"$106,437",-11.50%,"$11,805",-16.60%,"$3,985,749","$2,397.2",-1,"7,700",-1,343,View More details about Fannie Mae
