rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Amazon,"$716,924",12.40%,"$77,670",31.10%,"$818,042","$2,235,762",1,"1,576,000",1,View More details about Amazon
2,Walmart,"$713,163",4.70%,"$21,893",12.60%,"$284,668","$990,810.2",-1,"2,100,000",-1,View More details about Walmart
3,UnitedHealth Group,"$447,567",11.80%,"$12,056",-16.30%,"$309,581","$245,608",-,"390,000",-,View More details about UnitedHealth Group
4,Apple,"$416,161",6.40%,"$112,010",19.50%,"$359,241","$3,725,926.5",-,"166,000",-,View More details about Apple
5,Alphabet,"$402,836",15.10%,"$132,170",32%,"$595,281","$3,478,613.3",2,"190,820",2,View More details about Alphabet
6,CVS Health,"$402,067",7.90%,"$1,768",-61.70%,"$253,538","$91,370.2",-1,"259,500",-1,View More details about CVS Health
7,Berkshire Hathaway,"$371,444",,"$66,968",-24.80%,"$1,222,176","$1,033,219.6",-1,"387,800",-1,View More details about Berkshire Hathaway
8,McKesson,"$359,051",16.20%,"$3,295",9.80%,"$75,140","$105,995.7",1,"44,000",1,View More details about McKesson
9,ExxonMobil Holdings,"$332,238",-5%,"$28,844",-14.40%,"$448,980","$706,933.1",-1,"57,900",-1,View More details about ExxonMobil Holdings
10,Cencora,"$321,332.8",9.30%,"$1,554.2",3%,"$76,590.1","$61,109.9",-,"49,000",-,View More details about Cencora
11,Microsoft,"$281,724",14.90%,"$101,832",15.50%,"$619,003","$2,748,745.1",3,"228,000",3,View More details about Microsoft
12,JPMorgan Chase,"$280,345",0.50%,"$57,048",-2.40%,"$4,424,900","$793,359",-1,"318,512",-1,View More details about JPMorgan Chase
13,Costco Wholesale,"$275,235",8.20%,"$8,099",9.90%,"$77,099","$442,068.7",-1,"341,000",-1,View More details about Costco Wholesale
14,Cigna Group,"$274,900",11.20%,"$5,957",73.50%,"$157,919","$70,296.2",-1,"66,685",-1,View More details about Cigna Group
15,Cardinal Health,"$222,578",-1.90%,"$1,561",83.20%,"$53,122","$49,724.6",-,"55,392",-,View More details about Cardinal Health
16,Nvidia,"$215,938",65.50%,"$120,067",64.80%,"$206,803","$4,237,920",15,"42,000",15,View More details about Nvidia
17,Meta Platforms,"$200,966",22.20%,"$60,458",-3.10%,"$366,021","$1,447,234.6",5,"78,865",5,View More details about Meta Platforms
18,Elevance Health,"$199,125",12.50%,"$5,662",-5.30%,"$121,494","$64,306.9",2,"96,615",2,View More details about Elevance Health
19,Centene,"$194,777",19.40%,"$-6,674",-301.90%,"$76,747","$16,100.6",4,"61,100",4,View More details about Centene
20,Bank of America,"$191,567",-0.50%,"$30,509",12.50%,"$3,411,738","$348,353.3",-3,"213,207",-3,View More details about Bank of America
21,Chevron,"$189,031",-6.80%,"$12,299",-30.40%,"$324,012","$412,845.3",-5,"43,039",-5,View More details about Chevron
22,Ford Motor,"$187,267",1.20%,"$-8,182",-239.20%,"$289,160","$46,287.9",-3,"169,000",-3,View More details about Ford Motor
23,General Motors,"$185,019",-1.30%,"$2,697",-55.10%,"$281,284","$67,345.6",-5,"156,000",-5,View More details about General Motors
24,Citigroup,"$168,297",-1.40%,"$14,306",12.80%,"$2,657,202","$198,390.3",-3,"226,000",-3,View More details about Citigroup
25,Home Depot,"$164,683",3.20%,"$14,156",-4.40%,"$105,095","$327,578.2",-1,"472,400",-1,View More details about Home Depot
26,Fannie Mae,"$159,169",4.30%,"$14,364",-15.40%,"$4,317,538","$8,407.7",-1,"7,000",-1,View More details about Fannie Mae
27,Kroger,"$147,642",0.40%,"$1,016",-61.90%,"$49,953","$44,326",-,"403,000",-,View More details about Kroger
28,Verizon Communications,"$138,191",2.50%,"$17,174",-1.90%,"$404,258","$211,727.8",2,"89,900",2,View More details about Verizon Communications
29,Phillips 66,"$136,560",-6.10%,"$4,403",108%,"$73,680","$73,007.6",-1,"12,600",-1,View More details about Phillips 66
30,Marathon Petroleum,"$135,222",-3.70%,"$4,047",17.50%,"$83,955","$71,910.3",-1,"18,500",-1,View More details about Marathon Petroleum
31,StoneX Group,"$132,378.2",32.50%,$305.9,17.30%,"$45,268","$6,346.8",11,"5,430",11,View More details about StoneX Group
32,State Farm Insurance,"$132,311.6",7.60%,"$12,937.7",144.70%,"$405,739.2",-,4,"64,273",4,View More details about State Farm Insurance
33,Freddie Mac,"$131,688",7.90%,"$10,731",-9.50%,"$3,497,598","$4,160.4",5,"7,345",5,View More details about Freddie Mac
34,Humana,"$129,664",10.10%,"$1,188",-1.60%,"$48,909","$20,816.2",5,"67,060",5,View More details about Humana
35,AT&T,"$125,648",2.70%,"$21,953",100.50%,"$420,198","$202,946.7",2,"133,030",2,View More details about AT&T
36,Goldman Sachs Group,"$125,097",-1.40%,"$17,176",20.30%,"$1,809,320","$259,334.7",-4,"47,400",-4,View More details about Goldman Sachs Group
37,Comcast,"$123,707",,"$19,998",23.50%,"$272,631","$103,294.2",-2,"179,000",-2,View More details about Comcast
38,Wells Fargo,"$123,529",-1.50%,"$21,338",8.20%,"$2,148,631","$244,797.2",-5,"205,198",-5,View More details about Wells Fargo
39,Morgan Stanley,"$119,662",11.50%,"$16,861",25.90%,"$1,420,270","$261,314.2",1,"82,992",1,View More details about Morgan Stanley
40,Valero Energy,"$115,939",-6.50%,"$2,348",-15.20%,"$57,988","$73,865.5",-6,"9,798",-6,View More details about Valero Energy
41,Dell Technologies,"$113,538",18.80%,"$5,936",29.30%,"$101,286","$107,913.6",3,"97,000",3,View More details about Dell Technologies
42,Target,"$104,780",-1.70%,"$3,705",-9.40%,"$59,490","$54,886.1",-1,"415,000",-1,View More details about Target
43,Tesla,"$94,827",-2.90%,"$3,794",-46.50%,"$137,806","$1,394,966.6",-,"134,785",-,View More details about Tesla
44,Walt Disney,"$94,425",3.40%,"$12,404",149.50%,"$197,514","$170,739.1",2,"203,280",2,View More details about Walt Disney
45,Johnson & Johnson,"$94,193",6.10%,"$26,804",90.60%,"$199,210","$588,761.4",3,"138,200",3,View More details about Johnson & Johnson
46,PepsiCo,"$93,925",2.30%,"$8,240",-14%,"$107,399","$212,272.3",-1,"306,000",-1,View More details about PepsiCo
47,Boeing,"$89,463",34.50%,"$2,235",,"$168,235","$156,406.6",16,"182,000",16,View More details about Boeing
48,UPS,"$88,661",-2.70%,"$5,572",-3.60%,"$73,090","$83,590.8",-1,"350,625",-1,View More details about UPS
49,RTX,"$88,603",9.70%,"$6,732",41%,"$171,079","$259,638.4",5,"180,000",5,View More details about RTX
50,FedEx,"$87,926",0.30%,"$4,092",-5.50%,"$87,627","$84,987",-1,"408,200",-1,View More details about FedEx
51,Progressive,"$87,671",16.30%,"$11,308",33.40%,"$123,039","$115,963",6,"70,053",6,View More details about Progressive
52,Lowe's,"$86,286",3.10%,"$6,654",-4.40%,"$54,144","$132,331.8",-,"221,500",-,View More details about Lowe's
