Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,wikipedia_url,CEO
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902,https://en.wikipedia.org/wiki/3M,William M. Brown
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916,https://en.wikipedia.org/wiki/A._O._Smith,Kevin J. Wheeler
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,Robert B. Ford
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),https://en.wikipedia.org/wiki/AbbVie,Richard A. Gonzalez
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,https://en.wikipedia.org/wiki/Accenture,Julie Sweet
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,https://en.wikipedia.org/wiki/Adobe,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,https://en.wikipedia.org/wiki/Advanced_Micro_Devices,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,https://en.wikipedia.org/wiki/AES,
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,https://en.wikipedia.org/wiki/Aflac,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999,https://en.wikipedia.org/wiki/Agilent_Technologies,Padraig McDonnell
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940,https://en.wikipedia.org/wiki/Air_Products,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008,https://en.wikipedia.org/wiki/Airbnb,Brian Chesky
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,https://en.wikipedia.org/wiki/Akamai_Technologies,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,https://en.wikipedia.org/wiki/Albemarle,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,https://en.wikipedia.org/wiki/Align_Technology,Joe Hogan
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908,https://en.wikipedia.org/wiki/Allegion,Lauren Peters
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,https://en.wikipedia.org/wiki/Alliant_Energy,
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931,https://en.wikipedia.org/wiki/Allstate,Thomas J. Wilson
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,https://en.wikipedia.org/wiki/Alphabet_(Class_A),
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,https://en.wikipedia.org/wiki/Alphabet_(Class_C),
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,https://en.wikipedia.org/wiki/Altria,Billy Gifford
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994,https://en.wikipedia.org/wiki/Amazon,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860),https://en.wikipedia.org/wiki/Amcor,Peter Konieczny
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,https://en.wikipedia.org/wiki/Ameren,
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,https://en.wikipedia.org/wiki/American_Electric_Power,
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962,1850,https://en.wikipedia.org/wiki/American_Express,Stephen Squeri
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272,1919,https://en.wikipedia.org/wiki/American_International_Group,Peter Zaffino
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995,https://en.wikipedia.org/wiki/American_Tower,Steven Vondran
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886,https://en.wikipedia.org/wiki/American_Water_Works,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894,https://en.wikipedia.org/wiki/Ameriprise_Financial,James M. Cracchiolo
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930,https://en.wikipedia.org/wiki/Ametek,David A. Zapico
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980,https://en.wikipedia.org/wiki/Amgen,Robert A. Bradway
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932,https://en.wikipedia.org/wiki/Amphenol,"R. Adam Norwitt,President and CEO"
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965,https://en.wikipedia.org/wiki/Analog_Devices,
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,315293,1982 (1919),https://en.wikipedia.org/wiki/Aon_plc,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1841666,1954,https://en.wikipedia.org/wiki/APA,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1858681,1990,https://en.wikipedia.org/wiki/Apollo_Global_Management,Marc Rowan
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,https://en.wikipedia.org/wiki/Apple,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,6951,1967,https://en.wikipedia.org/wiki/Applied_Materials,Gary E. Dickerson
APP,AppLovin,Information Technology,Application Software,"Palo Alto, California",2025-09-22,1751008,2012,https://en.wikipedia.org/wiki/AppLovin,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",2012-12-24,1521332,1994,https://en.wikipedia.org/wiki/Aptiv,Kevin P. Clark
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484,1995,https://en.wikipedia.org/wiki/Arch_Capital_Group,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,Juan Luciano
ARES,Ares Management,Financials,Asset Management & Custody Banks,"Los Angeles, California",2025-12-11,1176948,1977,https://en.wikipedia.org/wiki/Ares_Management,
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004,https://en.wikipedia.org/wiki/Arista_Networks,Jayshree Ullal
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190,1927,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_&,
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,1267238,1892,https://en.wikipedia.org/wiki/Assurant,Keith W. Demmings
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983 (1885),https://en.wikipedia.org/wiki/AT&T,
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906,https://en.wikipedia.org/wiki/Atmos_Energy,
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,769397,1982,https://en.wikipedia.org/wiki/Autodesk,Crawford W. Beveridge
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,8670,1949,https://en.wikipedia.org/wiki/Automatic_Data_Processing,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997-01-02,866787,1979,https://en.wikipedia.org/wiki/AutoZone,
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,915912,1978,https://en.wikipedia.org/wiki/AvalonBay_Communities,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,8818,1935,https://en.wikipedia.org/wiki/Avery_Dennison,Deon Stander
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1069183,1993,https://en.wikipedia.org/wiki/Axon_Enterprise,Patrick W. Smith
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,1701605,2017,https://en.wikipedia.org/wiki/Baker_Hughes,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,9389,1880,https://en.wikipedia.org/wiki/Ball,
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874),https://en.wikipedia.org/wiki/Bank_of_America,Brian Moynihan
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931,https://en.wikipedia.org/wiki/Baxter_International,Andrew Hider
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897,https://en.wikipedia.org/wiki/Becton_Dickinson,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839,https://en.wikipedia.org/wiki/Berkshire_Hathaway,Warren Buffett
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,764478,1966,https://en.wikipedia.org/wiki/Best_Buy,David Kenny
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,842023,1976,https://en.wikipedia.org/wiki/Bio-Techne,
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978,https://en.wikipedia.org/wiki/Biogen,
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,2012383,1988,https://en.wikipedia.org/wiki/BlackRock,
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985,https://en.wikipedia.org/wiki/Blackstone,
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,none,2025-07-23,1512673,2009,https://en.wikipedia.org/wiki/Block,
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1390777,1784,https://en.wikipedia.org/wiki/BNY_Mellon,
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957-03-04,12927,1916,https://en.wikipedia.org/wiki/Boeing,Kelly Ortberg
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,1075531,1996,https://en.wikipedia.org/wiki/Booking_Holdings,Glenn D. Fogel
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,885725,1979,https://en.wikipedia.org/wiki/Boston_Scientific,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,14272,1989 (1887),https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,Chris Boerner
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1730168,1961,https://en.wikipedia.org/wiki/Broadcom,Henry Samueli
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1383312,1962,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,79282,1939,https://en.wikipedia.org/wiki/Brown_&_Brown,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,1870,https://en.wikipedia.org/wiki/Brown–Forman,
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",2023-12-18,1316835,1998,https://en.wikipedia.org/wiki/Builders_FirstSource,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,1996862,1818,https://en.wikipedia.org/wiki/Bunge_Global,Mark Zenuk
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,1970,https://en.wikipedia.org/wiki/BXP,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905,https://en.wikipedia.org/wiki/C.H._Robinson,
