,index,id,created_at,text,year,month,day
0,0,1402654845283278852,2021-06-09T15:52:29.000Z,"Thanks for inviting me, @jimcramer. Appreciated our conversation about @ATVI_AB's player focus and how we are helping veterans find jobs through @CODE4Vets. https://t.co/M180SAwRK1",2021,6,9
1,0,1279475322249936896,2020-07-04T18:01:02.000Z,Wishing everyone a safe &amp; happy #4thofJuly! https://t.co/M3SYzBsTFl,2020,7,4
2,1,1278425674433335298,2020-07-01T20:30:07.000Z,"Always a pleasure to speak with my old friend and mentor Michael Milken of the @MilkenInstitute. Among many topics, Mike and I discussed all that @ATVI_AB is doing to ensure the health of employees in response to the pandemic. https://t.co/gPaZchTjt1",2020,7,1
3,2,1278342859343740933,2020-07-01T15:01:02.000Z,Thanks to David Rubenstein and friends for having me on @business’ Leadership Live to discuss Activision Blizzard’s mission to connect and engage the world through epic entertainment. https://t.co/5Iua553Eib,2020,7,1
4,3,1273289315842494465,2020-06-17T16:20:04.000Z,"Happy #PrideMonth to the LGBT+ community around the world. I’m proud to have so many of our employees take part in this celebration of love, diversity and acceptance. #GameWithPride https://t.co/MthFHF3rX6",2020,6,17
5,0,1266142275228270592,2020-05-28T23:00:16.000Z,A huge congratulations to @CODE4Vets on their @EngageforGood Silver Halo Award for the #HireHonor campaign. I'm so proud of their continued commitment to place thousands of veterans into high-quality jobs. https://t.co/QNjCA6ybvI,2020,5,28
6,1,1265427501771341825,2020-05-26T23:40:01.000Z,I’m honored to be included in the @LABJnews' #LA500 issue alongside some of the most influential and inspiring civic and business leaders in the city. https://t.co/0KsyjF6sPI,2020,5,26
7,2,1264964585938960384,2020-05-25T17:00:33.000Z,"This Memorial Day may be different from past years, but we can still take time to pause, remember, reflect and honor those who made the ultimate sacrifice to protect our freedom. I am grateful to all who have served and sacrificed for our country.",2020,5,25
8,3,1263964118278701057,2020-05-22T22:45:03.000Z,Incredibly honored to have a hero like Captain @FlorentGroberg share his powerful and humbling story with employees for #MilitaryAppreciationMonth. https://t.co/m6IRwNufj8,2020,5,22
9,4,1263280865112702977,2020-05-21T01:30:03.000Z,"RT @ATVI_AB: Congrats, @RavenSoftware! We are proud to work with such an innovative and immensely talented studio. Here’s to 30 more! https…",2020,5,21
10,5,1262510840189726720,2020-05-18T22:30:15.000Z,"During these challenging times, I’m proud of the role that @King_Games is playing by bringing joy to our hundreds of millions of players around the world. https://t.co/1PmCNQNWQL",2020,5,18
11,0,1261414557320392704,2020-05-15T21:54:01.000Z,"We are proud to be supporting @UWHealth’s innovative research on convalescent plasma, a promising development in the pursuit of protecting the health of our global community. https://t.co/hFbWA96YN7 https://t.co/ZATpOSzUh0",2020,5,15
12,1,1261046157687619591,2020-05-14T21:30:07.000Z,"For the #CODEFearlessChallenge, I’d like to honor:

Medal of Honor recipient, @FlorentGroberg, who inspired us during his 'Activisionaries’ talk to employees yesterday &amp; @dan4vets, who served for 27 years and now leads @CODE4Vets.

Join me in thanking Flo &amp; Dan for their service! https://t.co/GWeTShBjej",2020,5,14
13,2,1260346025446907905,2020-05-12T23:08:03.000Z,"UW Health’s innovative COVID-19 work inspires all of us at Activision Blizzard. We are proud to support @UWHealth’s research on convalescent plasma, which is already making a big difference in the lives of so many. https://t.co/fP59iljagC",2020,5,12
14,3,1260310785617735680,2020-05-12T20:48:01.000Z,Happy Birthday to my dear friend @TonyHawk! Excited to finally announce the return of such an iconic series - Tony Hawk’s Pro Skater 1 and 2 is back. #THPS @TonyHawkTheGame https://t.co/TDyBaKpZlG,2020,5,12
15,4,1259944622249443336,2020-05-11T20:33:01.000Z,Veterans need our help now more than ever. I’m immensely proud of Activision Blizzard’s continued support of our nation’s veterans through @CODE4Vets. #HireHonor https://t.co/P4IlMl81np,2020,5,11
16,5,1258513202595287042,2020-05-07T21:45:04.000Z,"It takes heroes to make heroes. Over the next year, Activision Blizzard is aiming to hire over 2,000 employees so that our incredibly talented teams can continue making epic entertainment. Now more than ever, we know our global community needs jobs – and we are proud to help. https://t.co/NLsWG9FDPi",2020,5,7
17,6,1258457837749047298,2020-05-07T18:05:04.000Z,"Fascinating insights on “gamer moms,” an active and growing population within the global gamer community. Our research shows over two-thirds of moms play games, across mobile, tablet, console and PC. https://t.co/G9OB7UGk3A",2020,5,7
