,index,id,created_at,text,year,month,day
0,0,1642585519602429953,2023-04-02T17:51:20.000Z,@erikbryn @jeremybney Yes indeed.,2023,4,2
1,1,1642572492257783809,2023-04-02T16:59:34.000Z,@erikbryn @jeremybney I wonder how much of this is due to excess COVID deaths. The map looks very similar to the COVID map.,2023,4,2
2,2,1641999995187642368,2023-04-01T03:04:40.000Z,And - least we forget - the world is more interesting and creative when there is space for the unconventional.,2023,4,1
3,3,1641999687619317762,2023-04-01T03:03:27.000Z,"As the setting sun turns Mt. Diablo gold, I have a last thought for the day: No one should have to hide who they are out of fear, and - though we may be disagree on the means and the ends - what we all want is universal…we all just want to be loved for who we are.",2023,4,1
4,4,1639690213277716486,2023-03-25T18:06:25.000Z,"@chr1sa All possible overtime. It’s a small, but mighty and motivated, team. So, delivery time frames may vary.",2023,3,25
5,5,1639669976243261440,2023-03-25T16:46:00.000Z,"@chr1sa It’s a bit more than animation though, but I think you get that. Will continue to update it to get the kinks out.",2023,3,25
6,6,1639044622247923712,2023-03-23T23:21:04.000Z,"@amcafee @bhalligan Correct. And I might change to “acceptance of amateurs and the naive” as opposed to “respect”. Not sure they always get respect, but people recognize that the amazing sometimes comes from that pool of talent.",2023,3,23
7,7,1639027012668108800,2023-03-23T22:11:06.000Z,@amcafee @bhalligan A respect for amateurs and the naive.,2023,3,23
8,8,1639022963700948992,2023-03-23T21:55:00.000Z,@amcafee @bhalligan Hard to argue with that.,2023,3,23
9,9,1638983870946353154,2023-03-23T19:19:40.000Z,"RT @SteveHoops: Physics in TinkerCAD, I think it's one of the most exciting updates I've seen. Congrats and thanks to the team for their ha…",2023,3,23
10,10,1638981774998110208,2023-03-23T19:11:20.000Z,"Look what’s happening in TinkerCAD!

Tinkercad Blog: Put Designs in Motion with Tinkercad Sim Lab | Tinkercad https://t.co/WGwPfSIXIP",2023,3,23
11,11,1635674663656501248,2023-03-14T16:10:03.000Z,How many inches in pi? Happy Pi Day. #piDay2023,2023,3,14
12,12,1635132144883503104,2023-03-13T04:14:17.000Z,Congratulations to all the winners. https://t.co/nvM9WmJo2v,2023,3,13
13,13,1635131068918697984,2023-03-13T04:10:00.000Z,Thank you @ElizabethBanks https://t.co/TBGMr6OkL2,2023,3,13
14,14,1635130517078298624,2023-03-13T04:07:49.000Z,@scottddavis @OttoDesc We love Otto,2023,3,13
15,15,1635113377755430915,2023-03-13T02:59:42.000Z,Way to go Way of Water. https://t.co/MGeDONistm,2023,3,13
16,16,1635112149738754048,2023-03-13T02:54:50.000Z,Yes they do. https://t.co/C3Y2VPD8Ks,2023,3,13
17,17,1634277085295542272,2023-03-10T19:36:35.000Z,@ikeough This is why I’m worried about my behavior. Hybrid texting and email is not a great outcome.,2023,3,10
18,18,1634225074629902336,2023-03-10T16:09:54.000Z,"Have any of you, of a certain age, started sending emails like you’re texting? For example, you put your whole point in a slightly too long subject line and only have your name in the body?",2023,3,10
19,19,1632780672203882500,2023-03-06T16:30:22.000Z,"“Animosity is the enemy of American liberty. It is hard to muster the will to defend the rights of people you despise…Hatred and fear are the foundation of “unreasoning fury,” and the fury that divided us once before may well do so again.”  https://t.co/JcEJEekSht",2023,3,6
20,20,1632197803895328768,2023-03-05T01:54:15.000Z,@minettenorman @DickinsonFarren @mrandel It’s a really useful book. Gives short case studies upfront in each chapter (instead of long tomes) and then gives a series of “when this” then “do this” examples that anyone can apply. Nice work.,2023,3,5
21,0,1631767930039070721,2023-03-03T21:26:05.000Z,15 in two months. At a fraction of the cost of any other vendor. It’s easy to forget to be amazed by the change that has been wrought here. https://t.co/e7SKE6NISV,2023,3,3
22,1,1630999989290954754,2023-03-01T18:34:34.000Z,@jorge_guajardo You’re hipper than most,2023,3,1
23,2,1630988437452124160,2023-03-01T17:48:40.000Z,Apparently people don’t know the album came out 50 years ago today. https://t.co/7Vf8Z9fbZ5,2023,3,1
24,3,1630961178062225409,2023-03-01T16:00:21.000Z,https://t.co/271VD2V4ry,2023,3,1
25,4,1630302977536987136,2023-02-27T20:24:54.000Z,Proud to be able to support the next generation of innovators at Howard University. https://t.co/ZuTBWSIX9s,2023,2,27
26,5,1629618276434333696,2023-02-25T23:04:08.000Z,"@jonfortt @BobEUnlimited To be clear, that wasn’t an endorsement of Paul Volker-like fed policy. I’m one of those people that believes the U.S. can (and maybe should) handle a bit more than the 2% target the fed has. I simply see lingering inflation over 3% as as a bad thing. That doesn’t say I want the… https://t.co/G6jp3PJopp",2023,2,25
27,0,1619179042309292033,2023-01-28T03:42:21.000Z,"@StephenKing Unfortunately, dictators can rarely “step down”. They have two options: 1.) Stay in power or 2.) Cease to exist. There is seldom a “retirement” option. He’s fighting for his existence. Which makes him even more ruthless and dangerous.",2023,1,28
28,1,1619093235833638912,2023-01-27T22:01:23.000Z,"@erikbryn @amcafee @danielrock @avi_collis The democratization of expertise. Something robots and AI will do in multiple industries and disciplines. Both a threat and a massive opportunity. Imagine, access, quality and “success rates” going up in multiple segments of the economy.",2023,1,27
29,0,1618269532585611265,2023-01-25T15:28:17.000Z,@thecadgeek The more it happens the more people with problems will try the same twisted act. I’m glad this one wasn’t a tragedy.,2023,1,25
30,1,1618042101123682306,2023-01-25T00:24:33.000Z,"How many more times will we discuss mass shootings? Yes, we will likely find mental illness played a role in at least one of these shootings (always does), but other wealthy nations have mental health issues too, and…yet…only in the United States do we see endless shootings.",2023,1,25
31,2,1617203204063911936,2023-01-22T16:51:04.000Z,"@erikbryn I’ve been waiting for tech like this to adjust camera offset for on-line meetings and improve the sense of connection, but when you go beyond camera offset you loose a key clue about the level of frankness and honesty for people that don’t normally avoid eye contact.",2023,1,22
32,3,1616883595293097989,2023-01-21T19:41:04.000Z,"RT @prof_danthomas: Using the amazing @autodesk engineering software tools. We can design, simulate, prototype and build any future #space…",2023,1,21
33,4,1616858764191358978,2023-01-21T18:02:23.000Z,@prof_danthomas @autodesk Thank you for pushing what we do forward!,2023,1,21
34,5,1616639025330413568,2023-01-21T03:29:13.000Z,@JohnCleese I want to go that way.,2023,1,21
35,6,1616483281205354498,2023-01-20T17:10:21.000Z,@jrichlive It’s not just cloud infrastructure. It’s under estimated in other cloud applications as well. Pay for what you use enables companies to access a broad range of capabilities they otherwise wouldn’t have purchased. We are seeing broadening adoption in our application space.,2023,1,20
36,7,1615550900541743104,2023-01-18T03:25:24.000Z,"RT @MattArsenaultPM: We’re excited to share the new @AutodeskRevit Public Roadmap!  A new format with more transparency, and a better way f…",2023,1,18
37,8,1615430786995392512,2023-01-17T19:28:07.000Z,"@lorengrush Remember, @Gwynne_Shotwell is a huge operational force at @SpaceX. A better way to tell this story is to say “Gwynn’s Shotwell leads busy year at SpaceX”. Let’s give her credit for what she’s doing.",2023,1,17
38,9,1615204197959610369,2023-01-17T04:27:44.000Z,"@AmazingPopPod Best movie of all time. “All those moments will be lost in time, like tears in rain.”",2023,1,17
39,10,1615202378478944256,2023-01-17T04:20:30.000Z,@NWischoff Yup,2023,1,17
40,11,1615048947093102594,2023-01-16T18:10:49.000Z,"Today we remember the life and works of a great human being, and the price brave leaders shouldn’t have to pay for changing what needs to be changed. Happy MLK Day.",2023,1,16
41,12,1613341353286709248,2023-01-12T01:05:27.000Z,"Again noting I am not an economist, I worry this focus on labor costs is attacking the wrong problem. https://t.co/M2LWqygWi6",2023,1,12
42,13,1613330441406136323,2023-01-12T00:22:06.000Z,"This opinion piece outlines some, but not all (silent on carbon free electricity production and distribution), of the infrastructure challenges. It should not be a source of dismay, but an inspiration to tackle and solve the issues. We can do this. https://t.co/73pjjCvCUH",2023,1,12
43,14,1612696296149712900,2023-01-10T06:22:14.000Z,Great spending time with the Singapore team! Thank you for all the great questions. https://t.co/xrdRt52hyJ,2023,1,10
44,15,1612153072050143232,2023-01-08T18:23:39.000Z,"@BudACAD I love public transportation. I can listen to podcasts, books, and news without worrying about running into anything. Beyond that, I get to work faster and get home faster (except for those times when things breaks).",2023,1,8
45,16,1611786626358980613,2023-01-07T18:07:31.000Z,"More important thinking. Having grown up in LA it is easy to understand the futility of highway widening strategies. Hopefully the western U.S. is getting over it’s allergy to expanding public rail transport. Of course, land use will always be a challenge. https://t.co/dEgPYtHUdc",2023,1,7
46,17,1611784589147799552,2023-01-07T17:59:26.000Z,"California needs more thinking like this. Most of us - myself included - think reservoirs, but replenishing the aquifer is a critical part of making the most of all the water that falls on the state. https://t.co/HidTsbGKLP",2023,1,7
47,18,1610761397767667714,2023-01-04T22:13:38.000Z,"Toured the Autodesk Gallery with Federal Minister Volker this yesterday. Honored to showcase the many ways digital transformation can advance industries to create the new possible. Thanks for stopping in, @Wissing! https://t.co/N3jHjLUhNK",2023,1,4
48,19,1608888062817480705,2022-12-30T18:09:40.000Z,The pangram is yesterday’s spelling bee was bogus.,2022,12,30
49,0,1602731057194979328,2022-12-13T18:23:55.000Z,Think about the potential implications of this. https://t.co/ygSvggrHxX,2022,12,13
50,1,1602093125266067457,2022-12-12T00:09:01.000Z,"Hope character limit on Twitter is not increased. While there is the meaningless sound bite or ambiguous tweet problem, the character limit forces people to think about what they want to say and how to convey it concisely. Beyond that, we can already link to articles. @elonmusk",2022,12,12
51,2,1600604082820947968,2022-12-07T21:32:05.000Z,"It’s interesting how quickly China was able to create a “private” rocket venture. Clearly the goal is to compete with ULA, Ariane Space, and SpaceX. https://t.co/M6GBp8LcmR",2022,12,7
52,3,1599897594972753920,2022-12-05T22:44:45.000Z,@keanw What was the prompt?,2022,12,5
53,4,1599083748691447811,2022-12-03T16:50:49.000Z,"@Gkellycone @Twiceroadsfool @autodesku Completely agree the exhibit hall was working fine, but we need a square-ish expo center for things to work well for all attendees.",2022,12,3
54,5,1598858409843257348,2022-12-03T01:55:24.000Z,"@ChloeGMoretz I have to admit - though I enjoyed the book - I am delighted with the way the series is deviating. All the character, theme, and story elements of the book, but I’m I not sure where it is all going. Captivated. Bravo. You’ve also brought Flynn to life brilliantly. @GreatDismal",2022,12,3
55,6,1598778314281259009,2022-12-02T20:37:08.000Z,@GreatDismal Is this in doubt? Say it ain’t so. #RenewThePeripheral,2022,12,2
56,7,1598769637071917056,2022-12-02T20:02:39.000Z,"@kcflatlander @Twiceroadsfool @autodesku We are aware. There will be some challenges, but we felt it was worth the risk. Team is wrestling with these aspects.",2022,12,2
