,index,id,created_at,text,year,month,day
0,0,1616584621139046402,2023-01-20T23:53:03.000Z,"My reflections on 2023 @wef Davos: The polycrisis cannot detract from our climate change goals; and business' growing trust is an opportunity to drive integrated thinking and partnerships. Read more on @LinkedIn: https://t.co/WnlXe4BMSP

#EnergyTrilemma #WEF2023 #polycrisis",2023,1,20
1,0,1486487766674333698,2022-01-26T23:54:35.000Z,"What should we prioritize for #COP27 in Egypt? I spoke with @USChamber this week with my thoughts  in this clip via @LinkedIn. 

https://t.co/6lNiAg4o1g

@globalenergy @ChamberGlobal #EmissionsManagement #Hydrogen #NaturalGas #Egypt",2022,1,26
2,1,1485750395679174658,2022-01-24T23:04:32.000Z,"RT @iktvaAramco: شركة بيكر هيوز تتسلّم جائزة الأفضل في تطوير المورّدين ببرنامج #اكتفاء_2022 

At #iktva2022 Baker Hughes receives the Best…",2022,1,24
3,2,1478851599606984706,2022-01-05T22:11:11.000Z,RT @HydrogenCentral: Hydrogen Central 2021 In Review - Top Story from February 2021 - Baker Hughes and NOVATEK Partner to Develop Pioneerin…,2022,1,5
4,0,1432376865407254532,2021-08-30T16:17:11.000Z,"Thank you for having me on the podcast, @Jacobm. Great discussion on the future of work for #energy and I appreciated the opportunity to share some of my career stories! #energytechnology #futureofwork #weareBakerHughes https://t.co/VxHFdiwPxM",2021,8,30
5,1,1427419805670334465,2021-08-16T23:59:36.000Z,Looking forward to it! #gastech21 #energytransition https://t.co/z25Es4L1St,2021,8,16
6,2,1425205820770463745,2021-08-10T21:22:01.000Z,Great to see this advancement today in the U.S. #energytransition #BIFDeal #hydrogen #ccus https://t.co/LkTtgMx2Sm,2021,8,10
7,0,1422664476428472332,2021-08-03T21:03:37.000Z,"Proud of @bakerhughesco to join @CCSTechFacts and many other great organizations today to call upon the U.S. Congress to advance carbon management legislation, including support for #CCUS tech. #netzero #energytransition #energytechnology #scalingcarbonmanagement https://t.co/ykg8Wf9qJi",2021,8,3
8,0,1398005385844363274,2021-05-27T19:57:12.000Z,"RT @Bloom_Energy: This week we hosted @bakerhughesco Chairman &amp; CEO @simonelli_l at the Bloom Energy facilities for a discussion on:

💡 Acc…",2021,5,27
9,1,1398005317477322756,2021-05-27T19:56:56.000Z,"@Bloom_Energy @bakerhughesco Thanks for hosting me , @Bloom_Energy - our collaboration is critical as we accelerate new energy frontiers like #fuelcells, #hydrogen and #cleanpower. #energytransition",2021,5,27
10,2,1396955194370543620,2021-05-24T22:24:07.000Z,Thanks @derek_brower for the discussion today at #FTEnergySource - looking forward to the remaining sessions as we discuss the #energytransition for the U.S. and beyond. @ftlive https://t.co/Cr3r8U3i5L,2021,5,24
