,index,id,created_at,text,year,month,day
0,0,1611410166028582952,2023-01-06T17:11:36.000Z,"For 125 years, @BDandCo has delivered on our Purpose. Hear from our former leaders about some of the most impactful moments in BD history here. https://t.co/BtRU35lUQQ",2023,1,6
1,0,1592527132646948864,2022-11-15T14:37:10.000Z,Congratulations to BD Japan for celebrating 50 years of purpose-driven innovation! #proudtobebd https://t.co/T5kfyHOwJv,2022,11,15
2,0,1587114493267566592,2022-10-31T16:09:17.000Z,"This week, @BDandCo celebrates Global #InspireQuality Week, a time for all 75,000 BD associates to share their deep commitment to delivering safe, reliable and effective products and solutions to our customers and patients we serve. #WQW22 #WQD22 https://t.co/S90znGlp30",2022,10,31
3,1,1585009578130911233,2022-10-25T20:45:06.000Z,"Had a great visit to @BDandCo's Sao Paulo offices, where I had the opportunity to see firsthand how our associates in Brazil are committed to advancing on BD’s purpose! https://t.co/9aqiTYGH1P",2022,10,25
4,0,1580659585878470656,2022-10-13T20:39:47.000Z,"Proud that @BDandCo is ranked in @Forbes’ 2022 list of the #WorldsBestEmployers. Thank you to our 75,000 people for your commitment to helping each other be great and delivering for customers and patients around the world. #proudtobebd 
https://t.co/R3yntVM03Q https://t.co/6BJvxETg08",2022,10,13
5,1,1579137344741199873,2022-10-09T15:50:56.000Z,"Congratulations to our @BDandCo Technologies and Innovation Center of Excellence team who last week celebrated 50 years of bringing innovative solutions to patients and customers around the world!  
#BDTI50 #BD125 #InnovationAtBD https://t.co/9sc5Crks7W",2022,10,9
6,0,1569366279848448000,2022-09-12T16:44:13.000Z,"As @BD celebrates 125 years of delivering essential health care solutions, I'm proud of our history and excited about our future as we continue to help solve  health care’s greatest challenges. Here are my thoughts on what’s next: https://t.co/cPvpAn4QrK via @LinkedIn",2022,9,12
7,0,1556999020878483456,2022-08-09T13:41:08.000Z,"Through the BD Helping Build Healthy Communities initiative and with @DirectRelief and @NACHC, we have awarded four #community #health centers more than $1 million to provide quality, equitable care in underserved communities in the U.S. #proudtobebd 
https://t.co/YZzGd5rBAu https://t.co/2woUMlEXCe",2022,8,9
8,0,1553020250450427904,2022-07-29T14:10:56.000Z,"Our acquisition of MedKeeper, a provider of cloud-based pharmacy management applications, accelerates our commitment to Smart, Connected Care – offering pharmacy leaders a high-tech platform to optimize IV workflow. https://t.co/jSodaqMqDy",2022,7,29
9,1,1549779933043507200,2022-07-20T15:35:04.000Z,"Today, @BDandCo earned a top spot on the #DEI22 and was named a #BestPlaceToWork for #DisabilityInclusion. I'm proud of our commitment to advancing a culture of inclusion here at BD. #proudtobebd 
https://t.co/k673dCPMiN https://t.co/1jTlcdnesl",2022,7,20
10,2,1549079931266686978,2022-07-18T17:13:30.000Z,"I’m pleased to welcome @ParataSystems' talented team members to @BDandCo, as we all celebrate Day One as a combined company. We look forward to many future successes together!
https://t.co/UZqVaivC92",2022,7,18
11,0,1545148470151061504,2022-07-07T20:51:17.000Z,"I had the great opportunity to talk with @FortuneMagazine's @susiegharib about a range of topics from @BDandCo's pandemic response to what we’re doing to shape the #healthcare of tomorrow. Watch here: https://t.co/9Iv9wGtrSS 
#innovation #proudtobebd https://t.co/NP3Lq907Hh",2022,7,7
12,0,1537870859318198279,2022-06-17T18:52:39.000Z,"This week, we announced a partnership with Mayo Clinic Platform for access to #clinicaldata that will give us real-world insights to better meet patient needs.
#medtech #innovation 
https://t.co/tuUibVPOdG",2022,6,17
13,0,1533823921434284033,2022-06-06T14:51:34.000Z,"Today, we announced an agreement to acquire Parata Systems, enabling BD to provide new #pharmacyautomation technologies for hospitals, retail, long-term care &amp; home settings. We look forward to welcoming the Parata team to our BD family. https://t.co/eyFqKS8Yfp",2022,6,6
14,1,1531357583558291460,2022-05-30T19:31:13.000Z,"Last week, I had the great honor of meeting with a few of our @BDandCo veterans and members of our Veteran Employee and Troop Support (VETS) Associate Resource Group. Today, on #MemorialDay, we thank all our military veterans – past and present – for their service. #ProudtobeBD https://t.co/bAVelCymP7",2022,5,30
15,2,1527649113214488578,2022-05-20T13:55:05.000Z,"Our expanded partnership with @Babsondx will move blood sample collection into new care settings. It’s a less invasive and convenient solution to blood collection that can enable care outside the hospital. 
#innovation #futureofhealthcare

https://t.co/dSKSzEIPtB",2022,5,20
16,0,1526627327412785152,2022-05-17T18:14:52.000Z,Great week last week visiting BD teams in Sandy and Salt Lake City - along with a visit from Utah's Lt. Gov. Deidre Henderson - to see all the innovative work happening at our plants to bring millions of #healthcare products to the world. #ProudtobeBD #innovation https://t.co/EDOjAnRb8j,2022,5,17
17,1,1519064471133696000,2022-04-26T21:22:47.000Z,"Proud to be recognized by @Forbes as one of the Best Employers for Diversity in the U.S., a testament to progress @BDandCo has made in advancing efforts around inclusion, diversity and equity, and our 2030+ #ESG goals #proudtobebd https://t.co/yF3ghKMzhf https://t.co/hNDqvLEf5x",2022,4,26
18,2,1517500852428288000,2022-04-22T13:49:31.000Z,Proud of the progress @BDandCo is making toward our 2030+ #ESG goals. Today we announced an initiative to drive sustainable #innovation for our product portfolio. #ProudtobeBD https://t.co/tdNF15cWLr https://t.co/VSZaStLDX5,2022,4,22
19,0,1514646564089876489,2022-04-14T16:47:36.000Z,"I’m pleased to welcome Shana Neal back to @BDandCo  as our Chief People Officer – welcome, Shana! 
https://t.co/YQVVxOpe6Q https://t.co/x4SDz50xNh",2022,4,14
20,1,1509888731083423747,2022-04-01T13:41:40.000Z,"Congratulations to the entire @embecta team on their launch and @nasdaq listing. The completed spinoff of the @BDandCo Diabetes Care business demonstrates continued execution of our BD 2025 strategy.
https://t.co/7SICr1z9Mj https://t.co/vGuJTA58pk",2022,4,1
21,2,1508849246128201728,2022-03-29T16:51:07.000Z,"I had the great privilege of spending time with the respected @kenblanchard talking about servant leadership, an attribute driving @BDandCo's strategy and my own approach to #leadership. https://t.co/eM6vzUFZIH",2022,3,29
22,3,1507426054603948081,2022-03-25T18:35:52.000Z,"@BDandCo CTO, Beth McCombs, talks with Health Evolution about our company journey and how we’re advancing #innovative solutions that address the needs of patients and providers around the world. #futureofhealthcare #medtech
https://t.co/fgZeLRw5fY",2022,3,25
23,0,1504451160593346560,2022-03-17T13:34:42.000Z,"This #WomensHistoryMonth, we’re celebrating the achievements of the women at BD, and the partnerships with NGOs that allows us to advance women-focused health programs. #IWD2022 #proudtobebd https://t.co/Iop94ZYRZq",2022,3,17
24,0,1494716194145845252,2022-02-18T16:51:25.000Z,We’re honored to be recognized alongside our government partners by @HC_Ready as a 2021 #SupplyChainHero. #ProudtobeBD https://t.co/of63As0Eic https://t.co/FTSM0gw9Im,2022,2,18
25,0,1491890082093096964,2022-02-10T21:41:28.000Z,Collaborating with communities and NGOs is how we advance our Community Health and #ESG goals at @BDandCo. Here's how we invest our philanthropic resources to serve the most vulnerable: https://t.co/epsEa4EKJ6 https://t.co/2BHWOXm7a3,2022,2,10
26,1,1488941638017859592,2022-02-02T18:25:24.000Z,"BD’s board of directors has approved the spinoff of our diabetes care business, to be known as embecta, effective April 1, 2022. This milestone will enable both organizations to focus even more on innovations that will have the greatest impact. https://t.co/adGLE1ROZF",2022,2,2
27,2,1486819373025275913,2022-01-27T21:52:16.000Z,"Proud that BD has once again been recognized by @Bloomberg and the @HRC Foundation for our #inclusion and #diversity efforts, a testament to our progress against our 2030+ #ESG goals: https://t.co/2NZFJtFLCv 
#BloombergGEI #CEI2022 #proudtobebd https://t.co/gQUL5ItLhp",2022,1,27
28,3,1486426507530674177,2022-01-26T19:51:10.000Z,"Congratulations to the 12 free and charitable clinics that received this year’s Continuity in Care grants from @BDandCo and @DirectRelief, announced today by @NAFClinics. The funds will help them expand access to essential services for vulnerable patients. https://t.co/ZxM2u9tXrB https://t.co/uha0LslSKp",2022,1,26
29,4,1484562831987068936,2022-01-21T16:25:35.000Z,"This is a standout achievement and one of the most significant advancements in #flowcytometry in decades! Proud of our team of leading @BDandCo scientists and experts and the @embl team for this incredible work in #innovation. #ProudtobeBD  
https://t.co/PPRYFzBPp3",2022,1,21
30,0,1482069958112784394,2022-01-14T19:19:48.000Z,"I’m pleased to share the BD 2021 Cybersecurity Annual Report, which updates customers and stakeholders about our #cybersecurity practices: https://t.co/cGJ19vvp0L",2022,1,14
31,1,1481649674914197515,2022-01-13T15:29:44.000Z,"This week, I had the great opportunity to share perspective on BD 2025, our long-term strategy for growth, at this year’s J.P. Morgan Healthcare Conference. Watch here: https://t.co/KB74olldHG.
#JPM2022 #medtech #innovation #ProudtobeBD https://t.co/xMfzh54ddg",2022,1,13
