,index,id,created_at,text,year,month,day
0,0,1354707445868802053,2021-01-28T08:26:38.000Z,"Many 🙏for all Bday wishes. As always - much appreciated. The Show goes on. For obvious reasons,  I’m not counting last year in my age. It’s like selling a car. 10 years old but parked in a garage for 9 years. Almost like new.",2021,1,28
1,0,1250894843372539905,2020-04-16T21:12:25.000Z,@DrGilchrist She really must love you. Whisper your color and size and I get you one of those: https://t.co/fpkBVGveuS,2020,4,16
2,1,1250718837374357504,2020-04-16T09:33:02.000Z,"RT @ProfFeynman: The problem is not people being uneducated.
The problem is that people are educated just enough to believe what they have…",2020,4,16
3,2,1250718713852178432,2020-04-16T09:32:33.000Z,Great opportunity. Worth taking. https://t.co/7uO5XX8mdu,2020,4,16
4,3,1250714463755481089,2020-04-16T09:15:39.000Z,Never enough of spreading good news. https://t.co/EKZIC9Ejff,2020,4,16
5,4,1248386918015889408,2020-04-09T23:06:49.000Z,@JamesMelville Nothing wrong with having a few books in a toilet. Right?,2020,4,9
6,5,1248386143080480770,2020-04-09T23:03:45.000Z,@dirkishdelights Don’t limit yourself.,2020,4,9
7,6,1248385842965401607,2020-04-09T23:02:33.000Z,@lloydblankfein Be positive. It won’t end that bad.,2020,4,9
8,7,1247174412115247104,2020-04-06T14:48:45.000Z,@cjsnowdon If good 🍷 this is approaching moderate level. If not it might be a problem.,2020,4,6
9,8,1245846823857684483,2020-04-02T22:53:24.000Z,"RT @mariansalzman: Facts matter, kindness matters; there is only one enemy today: COVID-19. What the world needs now is medical supplies, a…",2020,4,2
10,9,1245803760758280194,2020-04-02T20:02:17.000Z,"RT @DrGilchrist: “PMI expanded 🚬 production”?

What? Only ~34bio off

Which is how much we REDUCED 🚬 sales ‘19 v ‘18

#FactsMatter

Even in…",2020,4,2
11,0,1244627292070064129,2020-03-30T14:07:25.000Z,@daviddinenberg 20,2020,3,30
12,1,1244625289826775040,2020-03-30T13:59:27.000Z,@carlvphillips Good to hear. Stay well 💪,2020,3,30
13,2,1241508013774692359,2020-03-21T23:32:31.000Z,"@ChaunceyGardner Get better soon, or even faster. Keep my fingers crossed.",2020,3,21
14,3,1241481560869781508,2020-03-21T21:47:24.000Z,"Old great song Come Together comes to my mind. As always insightful piece from @mariansalzman in Forbes

Will Isolation Bring Us Back Together? via @forbes https://t.co/ZpfCNwRQL1",2020,3,21
15,4,1240782414605099009,2020-03-19T23:29:14.000Z,@ElianaGolber Social distancing at its best. Crazy,2020,3,19
16,5,1240781861938487297,2020-03-19T23:27:03.000Z,@StefanDidak Enjoy the moment.,2020,3,19
17,6,1239338370045816833,2020-03-15T23:51:07.000Z,RT @IvisonJ: This is essential viewing for all policy makers.,2020,3,15
18,7,1239231095352299521,2020-03-15T16:44:51.000Z,Fingers crossed for Medicago and others working in this space. https://t.co/8OTixGgL4o,2020,3,15
19,8,1238838908651212801,2020-03-14T14:46:26.000Z,@JamesMelville I guess you never heard Hey Joe like this https://t.co/2SubuWdfts,2020,3,14
20,0,1241508013774692359,2020-03-21T23:32:31.000Z,"@ChaunceyGardner Get better soon, or even faster. Keep my fingers crossed.",2020,3,21
