,index,id,created_at,text,year,month,day
0,0,1399452351073710082,2021-05-31T19:46:55.000Z,"RT @FatherJoes: In 2020, we provided critical services to more than 1,400 of our nation's veterans. This Memorial Day, join us in supportin…",2021,5,31
1,1,1396211054254780419,2021-05-22T21:07:10.000Z,"Happy Sushi Saturday!  Father Son bonding today with blue fin, yellowtail, and kinmedai at our favourite sushi joint! 🙏 https://t.co/0rHHyqPqur",2021,5,22
2,2,1395930213146521602,2021-05-22T02:31:12.000Z,"RT @FatherJoes: Our Hope Lives Here campaign supports repairs and upgrades to aging facilities on the campus, strengthens and expands clien…",2021,5,22
3,3,1395645752412565504,2021-05-21T07:40:51.000Z,RT @CarrieLafrenz: My latest read on How the pandemic changed ResMed boss ⁦@ResMedMick⁩ ⁦@FinancialReview⁩ ⁦@AFRBoss⁩ #covid #founder #resm…,2021,5,21
4,4,1395473263715708928,2021-05-20T20:15:27.000Z,"RT @FatherJoes: Last year, the Village Health Center provided over 22,500 patient visits. 🩺 Read about the life-saving services our Village…",2021,5,20
5,5,1395473169738178560,2021-05-20T20:15:04.000Z,"RT @RaganComms: Bravo, Amy Wakeham with @ResMed! You’re one of @RaganComms and @PRDaily’s Leader honorees in our Top Women in Communication…",2021,5,20
6,6,1394751507736633345,2021-05-18T20:27:27.000Z,"RT @ResMed: Our statement on #India's ongoing #COVID19 crisis and what we're doing to help @ResMedIndia and everyone nationwide, from Asia…",2021,5,18
7,7,1394397021163823104,2021-05-17T20:58:51.000Z,"RT @simonsinek: ""Integrity is doing the right thing, even when no one is watching.” - C.S. Lewis",2021,5,17
8,8,1394148456508235776,2021-05-17T04:31:08.000Z,RT @Alissonbecker: What a moment!!! 🤩🤯🤪 I love you boys ❤️ https://t.co/QOThy9pZCN,2021,5,17
9,9,1394148282209865731,2021-05-17T04:30:27.000Z,RT @LFCUSA: 🚨 FIRST GOAL BY A GOALKEEPER IN LFC HISTORY 🚨 https://t.co/9ogbLNXRyh,2021,5,17
10,10,1393748498474962950,2021-05-16T02:01:51.000Z,"RT @atscommunity: Congratulations to Antonino Catanzaro, MD #ATS2021 Distinguished Achievement Award recipient! Dr. Catanzaro is Professor…",2021,5,16
11,11,1391168568092348417,2021-05-08T23:10:07.000Z,"RT @medtechcolor: Dr. Maria Artunduaga, Founder and CEO of @RespiraLabs has begun the Founder In-Residency Program as the recipient of the…",2021,5,8
12,12,1390580731445841921,2021-05-07T08:14:16.000Z,Treatment of sleep apnea with CPAP may lower risk of dementia and Alzheimer’s according to this published study: https://t.co/dY0LATgflt,2021,5,7
13,0,1388564466137108483,2021-05-01T18:42:21.000Z,"We’re sending 28 pallets of life-saving ventilators to our @ResMed team in India - thousands of devices to help with the latest Covid case surge in the country.  Thanks to our teams in Atlanta, Sydney, and Singapore for stepping up to produce and provide for preservation of life! https://t.co/CzT2pxLDv7",2021,5,1
14,1,1388234106454953988,2021-04-30T20:49:37.000Z,"Happy to talk to @ausbiztv about our impact helping people in India right now with emergency ventilator needs, as well as our pivot back to help the 1.6 billion people who need help for their sleep apnea, COPD, asthma or out-of-hospital care world-wide! https://t.co/lV9VR4jwEM",2021,4,30
15,2,1388218037740838912,2021-04-30T19:45:46.000Z,"RT @Loftus: Moderna aims to triple production of its Covid-19 vaccine next year to as much as three billion doses, as countries seek suppli…",2021,4,30
16,3,1388198438018306048,2021-04-30T18:27:53.000Z,"RT @HME_News: Early look at Monday's HME Newswire: @ResMed @ResMedMick: ""We have clear path to double-digit growth."" #hmenews https://t.co/…",2021,4,30
17,4,1387895813116887043,2021-04-29T22:25:22.000Z,"RT @ausbiztv: A positive lead in from Wall St (#Dow &amp; S&amp;P up 0.7%) but a soft open ahead for the #ASX with #SPI futures down 16 pts.

We've…",2021,4,29
18,5,1387496919975436305,2021-04-28T20:00:18.000Z,"RT @sunriseon7: Australia's best workplaces have been revealed in @LinkedIn's 2021 Top Companies Australia list.

Professional services fir…",2021,4,28
19,6,1385088265942753281,2021-04-22T04:29:10.000Z,"RT @FatherJoes: At Father Joe’s Villages, we could not succeed in ending homelessness without the help of hard-working volunteers. In honor…",2021,4,22
20,7,1384984015405346821,2021-04-21T21:34:55.000Z,"RT @GustavoNino20: How serious is pediatric OSA? @NatureComms paper in&gt;10,000 #children found #OSA symptoms linked to MRI-confirmed brain a…",2021,4,21
21,8,1384580594781196293,2021-04-20T18:51:52.000Z,RT @pedsleep: Congratulations to my mentor Dr David Gozal @SleepKid as the 2021 @ATSPeds Assembly Lifetime Contributions to Pediatric Respi…,2021,4,20
