,index,id,created_at,text,year,month,day
0,0,1641857671484837889,2023-03-31T17:39:07.000Z,"Today, I am filled with both gratitude for my time as CEO of Georgia Power Company and also excitement for what’s to come. It has been a thrill to be a part of the Georgia Power team and a highlight of my career.
 
I'm humbled that my next chapter will be…https://t.co/9d8zOeJMED",2023,3,31
1,1,1639309101862895617,2023-03-24T16:52:01.000Z,"Congratulations to the 51 Spirit of Safety Award recipients. These Georgia Power Company employees had the courage to step up and step in to save a life. They are a testament to our core value of ""Safety First,"" being much more than just a slogan, but a w…https://t.co/XTU1Ck3cdT",2023,3,24
2,2,1638592120436019200,2023-03-22T17:22:59.000Z,RT @GovNuclear: HEATING UP🔥: @GeorgiaPower announces hot functional testing is underway at Plant Vogtle Unit 4! This is the last series of…,2023,3,22
3,3,1632870567035666432,2023-03-06T22:27:35.000Z,"Today, operators at Plant Vogtle Unit 3 have safely started the nuclear reaction inside the reactor for the first time. We are another step closer to bringing online a new nuclear unit that will serve our state with clean and emiss…https://t.co/4JszWeBslp https://t.co/EHAkIU3XA6",2023,3,6
4,0,1618663848776695808,2023-01-26T17:35:09.000Z,"I enjoyed hosting Leadership Atlanta at our corporate headquarters and sharing my background. There’s not one path to leadership, but most paths hold valuable lessons in compassion, drive and courage. These are qualities I saw in the Leadership Atlanta me…https://t.co/8G7cPMQQBn",2023,1,26
5,0,1606284172070457344,2022-12-23T13:42:44.000Z,"RT @SenShelby: Today, in my final vote in the U.S. Senate, we funded the government - providing critical funds for national security, as we…",2022,12,23
6,1,1605212274251423746,2022-12-20T14:43:24.000Z,I had the honor of speaking at the The University of Georgia’s commencement ceremony on Friday. These 2022 graduates have endured tough times during their academic careers: Covid forcing a new normal; racial and social injustices being brought to light; a…https://t.co/eII4Jxj8ZL,2022,12,20
7,2,1602324217768431617,2022-12-12T15:27:17.000Z,RT @ronnyjust: https://t.co/KEnsQsTfHE,2022,12,12
8,3,1602261312586891265,2022-12-12T11:17:20.000Z,"RT @ThomasAFanning: Sister Pat was a dear friend &amp; a powerful partner in helping shape sound policy for the environment. Her intellect, sha…",2022,12,12
9,4,1601301178364891136,2022-12-09T19:42:06.000Z,"I had the opportunity to sit down with Stetson Bennett, Georgia Football Quarterback, back in October and heard his strategy for handling big pressure moments like playing in a National Championship. One thing he shared during our LunchTable that stuck wi…https://t.co/zbvizoWSpF",2022,12,9
10,5,1600623212727275522,2022-12-07T22:48:06.000Z,"I enjoyed spending time with Commissioner Pat Wilson, new and veteran legislators, and other state leaders at the Biennial Institute for Georgia Legislators this week. We covered a wide variety of issues impacting Georgia’s economic outlook, which will em…https://t.co/aA9inWGKgV",2022,12,7
