,index,id,created_at,text,year,month,day
0,0,1592500385457094659,2022-11-15T12:50:53.000Z,The average American who purchases their own insurance may pay 700K+ in healthcare expenses over their adult lifetime ($320K+ for those in an employee-sponsored health insurance plan)! Learn more here from the @Synchrony Lifetime of Healthcare Costs study: https://t.co/0bEByc4m7W,2022,11,15
1,1,1591092208005832704,2022-11-11T15:35:18.000Z,".@synchrony is proud to be a workplace made better by the tremendous and talented veterans we have across our teams. Today and every day we celebrate them, and all those who’ve served, with gratitude and admiration. Happy Veteran’s Day! https://t.co/GRr8CQWNcs",2022,11,11
2,2,1590786199395962895,2022-11-10T19:19:19.000Z,It was so great to spend some time with our Chicago team this week! Loved connecting with the team and hearing all the great things coming out of @Synchrony’s hub in the Windy City! https://t.co/MemM5mtdFG,2022,11,10
3,0,1580682211954593792,2022-10-13T22:09:41.000Z,"Always great to sit down with @Fortune’s @ellmcgirt, this time at @gptw_US #GPTW4All where we discussed how @Synchrony's culture is empowering all voices while leaning in on the power of listening. Already looking forward to next year! https://t.co/pewdD0fnkv",2022,10,13
4,1,1580243289135251457,2022-10-12T17:05:34.000Z,I love our all employee #AskUsAnything sessions– providing every colleague the chance to share their questions and ideas directly with our leaders. It's why I'm excited to talk all about that and so much more at the @GPTW_US #ForAll Summit. Tune in: https://t.co/7n0W0umHC9,2022,10,12
5,0,1580682211954593792,2022-10-13T22:09:41.000Z,"Always great to sit down with @Fortune’s @ellmcgirt, this time at @gptw_US #GPTW4All where we discussed how @Synchrony's culture is empowering all voices while leaning in on the power of listening. Already looking forward to next year! https://t.co/pewdD0fnkv",2022,10,13
6,1,1580243289135251457,2022-10-12T17:05:34.000Z,I love our all employee #AskUsAnything sessions– providing every colleague the chance to share their questions and ideas directly with our leaders. It's why I'm excited to talk all about that and so much more at the @GPTW_US #ForAll Summit. Tune in: https://t.co/7n0W0umHC9,2022,10,12
7,0,1567947653748490240,2022-09-08T18:47:06.000Z,"Thanks to our @synchrony team who continue to show how powerful a culture that prioritizes listening and action can be. Proud to say that because of them, we’ve been named by @GPTW_US as the #7 Best Place to Work in #FinancialServices. 

https://t.co/EtRN5s7Q9r",2022,9,8
8,1,1565080500812894209,2022-08-31T20:54:03.000Z,"Special thanks to @people for again naming @Synchrony to its Companies that Care list, and to #GPTW for naming us as a 2022 Best Workplace in Asia. So proud of our team for the many ways they deliver our incredible culture.  

https://t.co/qkP4fsSOKX
https://t.co/J3ITmsYros https://t.co/Eh7h17gW93",2022,8,31
9,0,1560693314382450688,2022-08-19T18:20:57.000Z,"A huge thank you to our colleague Elaine Thomley for sharing her story and how @Synchrony's commitment to providing our team with flexibility and choice is supporting her and her family. We're lucky to have her on our team.

https://t.co/wAw81HMZms",2022,8,19
10,1,1555208051380084737,2022-08-04T15:04:28.000Z,Consumer and employee expectations are changing. The businesses that will win are those that are willing to shift their mindsets. I shared a few thoughts here on what it means to be built to lead in this rapidly evolving market: https://t.co/31AQY3RKZL,2022,8,4
11,2,1554115232204836865,2022-08-01T14:42:00.000Z,"A big thank you to @ArielInvests' @MellodyHobson who recently joined me for a tremendous discussion during @Synchrony's Global Diversity Experience. We’re proud to work alongside her as we build a more diverse and equitable workforce, industry and society. https://t.co/1Ok7pq3xSx",2022,8,1
12,0,1553015476342493184,2022-07-29T13:51:57.000Z,"As a former leadership development program grad, I'm passionate about the impact early career programs - like @synchrony's Business Leadership Program - can have. I recently spoke with our BLPs and I could not be more excited by all that’s ahead for them. https://t.co/YLorIXWnXi",2022,7,29
