,index,id,created_at,text,year,month,day
0,0,1209144611010039809,2019-12-23T16:11:54.000Z,"Some love to CVS from John Meyer.  John, we love you too!  Happy Holiday travels to all ... https://t.co/f4KUBfDWK6",2019,12,23
1,1,1207385772548132866,2019-12-18T19:42:54.000Z,RT @ATodd_FL: Great way to start the day -  demonstrating how working differently delivers differently. #HUByeah @KoladyCVS @rfranciscvs @r…,2019,12,18
2,2,1204969456297922560,2019-12-12T03:41:20.000Z,Our HealthHUBs are opening in Atlanta. Very proud of our field leadership team and our HHUB transformation team.  We are changing healthcare for the better! https://t.co/fyToB6Lxb4,2019,12,12
3,3,1204969038763438081,2019-12-12T03:39:40.000Z,"RT @DavidSanfordCVS: Great visits today highlighting our #HealthHUB with retail, Caremark and Aetna. #Region31 #Atlanta #OneStoreTeam https…",2019,12,12
4,4,1202921339641901056,2019-12-06T12:02:51.000Z,RT @mbastarache_CVS: Visiting store 10970 at 86th &amp; 2nd in Manhattan with @khouricancvs @KoladyCVS @dwoodCVS @LisaMWright1 @EsmondJim today…,2019,12,6
5,0,1197686726359240704,2019-11-22T01:22:22.000Z,"RT @cvspharmacy: Pick up and drop off @UPS packages at CVS. Shop for must-haves, too. Talk about convenient! Learn more here: https://t.co/…",2019,11,22
6,1,1193701803629699077,2019-11-11T01:27:42.000Z,RT @UPS_News: .@UPS And CVS (  @CVSHealth ) Make First Residential #Drone Deliveries Of Prescription Medicines -  https://t.co/S9VqMHzwr7…,2019,11,11
7,2,1192212422741897216,2019-11-06T22:49:26.000Z,RT @matternet: Matternet completed the first residential drone delivery of prescription medication with our partners @UPS and @CVSHealth .…,2019,11,6
8,3,1192043218491387904,2019-11-06T11:37:05.000Z,Fantastic new store in the heart of Times Square. Store manager Anthony has his team ready to serve our customers.  Health and beauty destination! https://t.co/VfUwpARGWR,2019,11,6
9,4,1192042954736750592,2019-11-06T11:36:02.000Z,NYC getting ready for the holidays.  Inspirational merchandising from store #7019 https://t.co/niDVLntSU3,2019,11,6
10,0,1189948816167964672,2019-10-31T16:54:40.000Z,RT @KoladyCVS: Awesome day visiting Miami with our President ⁦@khouricancvs⁩ and member of the Board ⁦@FdoAguirreCEO⁩ ⁦@ahmedvelezcvs⁩ #lit…,2019,10,31
11,1,1187507541917556738,2019-10-24T23:13:55.000Z,RT @KoladyCVS: Awesome to see our newest Health Hub in Runnemeade NJ ! Our health care professionals are ready to make an even greater impa…,2019,10,24
12,2,1187089431876046849,2019-10-23T19:32:30.000Z,"RT @UPS: We're taking drones beyond the #healthcare industry. In partnership with @CVSHealth, we will explore the use of #drones for delive…",2019,10,23
13,0,1187507541917556738,2019-10-24T23:13:55.000Z,RT @KoladyCVS: Awesome to see our newest Health Hub in Runnemeade NJ ! Our health care professionals are ready to make an even greater impa…,2019,10,24
14,1,1187089431876046849,2019-10-23T19:32:30.000Z,"RT @UPS: We're taking drones beyond the #healthcare industry. In partnership with @CVSHealth, we will explore the use of #drones for delive…",2019,10,23
15,0,1070524532526645249,2018-12-06T03:45:12.000Z,Astoria Queens is ready to serve our customers.  Outstanding store. Great people dedicated to their community https://t.co/Wt6GG6H7dD,2018,12,6
16,1,1070523456771493888,2018-12-06T03:40:56.000Z,Great stores in Miami. Fantastic people https://t.co/ghHwVCz997,2018,12,6
17,0,1025758871904833536,2018-08-04T15:02:27.000Z,"The future of beauty at CVS coming to life in Miami. Thanks for alll the hard work, Ahmed and Gina https://t.co/QPNGPOg4R9",2018,8,4
