,index,id,created_at,text,year,month,day
0,0,1641476028198703104,2023-03-30T16:22:36.000Z,"A decade ago, customers said wireless Carrier plans were confusing &amp; misleading. @TMobile listened &amp; SMASHED pain points, creating the Un-carrier!💪

10 years later, we’re still shaking things up with a great deal, amazing network &amp; exclusive benefits. That’s the UN-CARRIER way. https://t.co/0Okr3VUHu6",2023,3,30
1,1,1641278832899670023,2023-03-30T03:19:01.000Z,@itz6randon @Verizon @TMobile Welcome aboard!,2023,3,30
2,2,1636476176498855936,2023-03-16T21:14:59.000Z,RT @MadMoneyOnCNBC: T-Mobile CEO @MikeSievert also spoke about Mint Mobile's brand - and how the company will scale its value proposition h…,2023,3,16
3,3,1635989773650395137,2023-03-15T13:02:11.000Z,"Big news! @TMobile has agreed to acquire @Mintmobile - another brand that loves its customers, delivers amazing value, and likes to shake things up.

They'll fit right in. We can't wait to welcome them to the family!",2023,3,15
4,4,1633888203714478080,2023-03-09T17:51:18.000Z,"Hey ⚾️ fans, @TMobile is bringing back a fan favorite just for you!

Starting 3/28 in the #TMobileTuesdays app, customers will be eligible for a free year-long subscription to @MLBTV.

Mark your calendars! 🙌 https://t.co/J6cmrUISUX",2023,3,9
5,5,1633864031613374470,2023-03-09T16:15:15.000Z,"RT @Mike_Katz: For the 8th year in a row, @TMobile will be offering customers a FREE year-long subscription to https://t.co/hEP9juYEnm 🙌 It…",2023,3,9
6,6,1633727232656166912,2023-03-09T07:11:40.000Z,"@DavidCh30428365 We’ll always be the #Uncarrier, but you can still count on us for MLB TV. Be sure to check the #TmobileTuesdays app on 3/28. 👀",2023,3,9
7,7,1633721219026669574,2023-03-09T06:47:46.000Z,@HHamilton_MBA @TMobile YES! Look for more info in the #TmobileTuesdays app starting 3/28. ⚾️,2023,3,9
8,8,1632854634728669184,2023-03-06T21:24:16.000Z,"@zoraidaalicea83 Congrats, Zoraida! 🎉",2023,3,6
9,9,1631360260496818177,2023-03-02T18:26:09.000Z,@Jayhawk_Linda @TMobile @nate_bukaty Of course! Thank YOU for being with us!,2023,3,2
10,0,1631037713439936512,2023-03-01T21:04:28.000Z,"To help refugees from Afghanistan and Ukraine get resettled and reemployed, they need connectivity.

I talked with https://t.co/ZbbdWu8xF2 co-chair &amp; Accenture CEO Julie Sweet about how @TMobile is doing our part to provide such a critical lifeline. 📞",2023,3,1
11,1,1631037340440489984,2023-03-01T21:02:59.000Z,"I never get tired of hearing about technology being put to GOOD use!
 
On the latest episode of Sidekicks Conversations, CEO Julie Sweet reveals how Accenture is using the metaverse to make a real impact. 🤯",2023,3,1
12,2,1630378752470294529,2023-02-28T01:26:00.000Z,"In this episode of Sidekicks Conversations, @JulieSweet explains why @Accenture fosters a culture of continuous learning and development. In today's fast-paced, tech-forward world, staying ahead of the curve is more important than ever!
 
Watch our full conversation here. ⤵️",2023,2,28
13,3,1630356354865979393,2023-02-27T23:57:00.000Z,"In this episode of Sidekicks Conversations, @JulieSweet explains why @Accenture fosters a culture of continuous learning and development. In today's fast-paced, tech-forward world, staying ahead of the curve is more important than ever!
 
Watch our full conversation here. ⤵️",2023,2,27
14,4,1629234722697269248,2023-02-24T21:40:02.000Z,"In this episode of Sidekicks Conversations, @JulieSweet explains why @Accenture fosters a culture of continuous learning and development. In today's fast-paced, tech-forward world, staying ahead of the curve is more important than ever!
 
Watch our full conversation here. ⤵️",2023,2,24
15,5,1628143197020123136,2023-02-21T21:22:42.000Z,@kborkat @JonFreier Was awesome to see everyone!,2023,2,21
16,6,1628142983169314818,2023-02-21T21:21:51.000Z,@markharr13 @JonFreier @cjgreentx Enjoyed being there! Great pics 😄,2023,2,21
17,7,1626298836540092418,2023-02-16T19:13:52.000Z,"This season, Major League Soccer fans can watch every game with the MLS Season Pass on Apple TV. 🙌

And @TMobile is giving it to our customers, with no extra charge, just to show that we’re your #1 fan.

Enjoy a great 2023 season! ⚽️⚽️⚽️",2023,2,16
18,8,1626298566976368641,2023-02-16T19:12:48.000Z,"There are soccer fans who catch whatever @MLS games they're able to ⚽️, and there are soccer fans with @TMobile who can catch ANY and EVERY game they want this season. 😏🙌",2023,2,16
19,9,1625243760430051328,2023-02-13T21:21:22.000Z,"And we’re just getting started! As this next chapter of the Un-carrier story is beginning to unfold, @UlfEwaldsson will continue to bring our network to life as President of Technology.",2023,2,13
20,10,1625243759117217792,2023-02-13T21:21:22.000Z,"Today we shared that @NevilleRay will retire this fall. Under his network leadership, @TMobile is taking the crown as the nation’s overall network leader with the best, most effective Technology team in this industry.",2023,2,13
21,11,1624834401980018688,2023-02-12T18:14:44.000Z,"RT @Mike_Katz: ""You look like a flamingo"" 😂
Big thanks to #BradleyCooper and his mom for teaming up in our second 🏈 spot! https://t.co/c9rH…",2023,2,12
22,12,1624549089252614145,2023-02-11T23:21:00.000Z,America's fastest growing Home Internet provider has something to sing about during this year's big game! https://t.co/FWWXsdjNPU,2023,2,11
23,13,1623684657698209792,2023-02-09T14:06:03.000Z,America's fastest growing Home Internet provider has something to sing about during this year's big game! https://t.co/FWWXsdjNPU,2023,2,9
24,14,1623020970276687872,2023-02-07T18:08:48.000Z,"@GovofCO @TMobile @climatepledge Thanks for acknowledging this, Governor! Companies like ours need to lead by example – which is why I’m calling on others to set bold sustainability goals of their own. We’ll make meaningful progress together.",2023,2,7
25,15,1622597668349575169,2023-02-06T14:06:45.000Z,".@TMobile is setting bold #sustainability goals, and I’d like to see other companies to do it too.

More on what we’re doing and the impact it will have: 🌎",2023,2,6
26,16,1621319042941452288,2023-02-03T01:25:57.000Z,"RT @JaniceKapner: The @TMobile story is a one of a resilient team that puts customers first. 🥇

We don’t make customers choose between a gr…",2023,2,3
27,17,1621290573620736000,2023-02-02T23:32:49.000Z,@DrSBorja @TMobile Happy to hear the team was able to take care of things. Thanks for sharing.,2023,2,2
28,18,1621290281005105153,2023-02-02T23:31:39.000Z,@DevonJacob45 Wow - Thanks for being with us!,2023,2,2
29,19,1621281558585028608,2023-02-02T22:57:00.000Z,"2022 = ⭐️ The Year of the #Uncarrier ⭐️

Loving our customers &amp; providing unbeatable value pays off, but #WeWontStop because there's more to do!
 
🎆 1.4M postpaid account net adds: best ever!
🎆 6.4M postpaid net adds: best ever!
🎆 0.88% postpaid phone churn: best ever!",2023,2,2
30,20,1621281558517919744,2023-02-02T22:57:00.000Z,"2022 = ⭐️ The Year of the #Uncarrier ⭐️

Loving our customers &amp; providing unbeatable value pays off, but #WeWontStop because there's more to do!
 
🎆 1.4M postpaid account net adds: best ever!
🎆 6.4M postpaid net adds: best ever!
🎆 0.88% postpaid phone churn: best ever!",2023,2,2
31,21,1621281306998087680,2023-02-02T22:56:00.000Z,"2022 = ⭐️ The Year of the #Uncarrier ⭐️

Loving our customers &amp; providing unbeatable value pays off, but #WeWontStop because there's more to do!
 
🎆 1.4M postpaid account net adds: best ever!
🎆 6.4M postpaid net adds: best ever!
🎆 0.88% postpaid phone churn: best ever!",2023,2,2
32,22,1620897821959540736,2023-02-01T21:32:10.000Z,"Success at @TMobile is about more than delivering great financial numbers. It’s about celebrating what we’ve done for our customers – like locking in their rate for talk, text and data while competitors raised their customers’ rates. https://t.co/4io0pOFmbx",2023,2,1
33,23,1620754435357147138,2023-02-01T12:02:24.000Z,"2022 = ⭐️ The Year of the #Uncarrier ⭐️

Loving our customers &amp; providing unbeatable value pays off, but #WeWontStop because there's more to do!
 
🎆 1.4M postpaid account net adds: best ever!
🎆 6.4M postpaid net adds: best ever!
🎆 0.88% postpaid phone churn: best ever!",2023,2,1
34,0,1620102556751118337,2023-01-30T16:52:04.000Z,".@TMobile's Net-Zero Standard carbon emission goals are big, bold, and measurable – because that’s what’s needed to create a more sustainable future. #NetZero #ClimatePledge",2023,1,30
35,1,1619521586721169411,2023-01-29T02:23:30.000Z,"When I sat down with @AlaskaAir CEO Ben Minicucci, he said empowering your team to make decisions is one way to ensure you’re doing the right thing for consumers.
 
More insights from our Sidekicks Conversation at @TMobile HQ here. ⤵️",2023,1,29
36,2,1618773979623493633,2023-01-27T00:52:46.000Z,"How is #AI impacting the future of flying? ✈️
 
@AlaskaAir CEO Ben Minicucci talks about how they’re using it to reduce fuel use!",2023,1,27
37,3,1618773702040260608,2023-01-27T00:51:40.000Z,"From the terminal to the sky, people expect seamless connectivity when traveling.
 
Enter @TMobile &amp; @AlaskaAir: working together to give customers FREE in-flight connectivity with streaming all flight long. ✈️",2023,1,27
38,4,1618769890638454784,2023-01-27T00:36:31.000Z,"When I sat down with @AlaskaAir CEO Ben Minicucci, he said empowering your team to make decisions is one way to ensure you’re doing the right thing for consumers.
 
More insights from our Sidekicks Conversation at @TMobile HQ here. ⤵️",2023,1,27
39,5,1615828948059054080,2023-01-18T21:50:16.000Z,"RT @TMobileIR: $TMUS Q4 and FY 2022 results will be released on Wednesday, February 1st at approximately 8:00am ET. Tune in live to watch @…",2023,1,18
40,6,1612924581320495104,2023-01-10T21:29:21.000Z,"@ptj_official @JustCapital @CNBC Thank you, Paul! JUST Capital focuses on what Americans value, and so does the Un-carrier. So proud to see this recognition! For us, focusing on what matters to customers, including issues like these, is just good business.",2023,1,10
