,index,id,created_at,text,year,month,day
0,0,1603132500225982464,2022-12-14T20:59:07.000Z,Proud to support the #NotAloneChallenge to help raise awareness and funds for mental health services https://t.co/jTLlY7KF6Z,2022,12,14
1,0,1532730338992078858,2022-06-03T14:26:04.000Z,"First rides of ‘22 with @jasonvi in Hudson NY.  Avoided the rain and limped to the finish line. @ Germantown, New York https://t.co/YD9rBOOuIJ",2022,6,3
2,0,1512451542644842496,2022-04-08T15:25:22.000Z,"Training with the incredibly fit and enthusiastic team at #nordeustopeleven @ Belgrade, Serbia https://t.co/f41jar4Ajz",2022,4,8
3,0,1497327533703852032,2022-02-25T21:47:57.000Z,"We’ve received so many great submissions for the @wwe Tik Tok Walk It Out Challenge, I had to submit my own as well! @strausszelnick. Back at you @SuperKingofBros! @WWEgames 

https://t.co/U4Wy46baGR https://t.co/sR5KRyI18P",2022,2,25
4,0,1452110351911292928,2021-10-24T03:11:01.000Z,"Great workout at @kollective.inc with @ericrakofsky1   Loving Austin. @ Austin, Texas https://t.co/I8V2zz0IHm",2021,10,24
5,0,1418244167851855872,2021-07-22T16:18:53.000Z,"Loads of climbing. No hurling.  Win. @ Woodstock, Vermont https://t.co/ek2J3Yb488",2021,7,22
6,1,1417896221088174080,2021-07-21T17:16:17.000Z,"40 miles.  No rain. @ Woodstock, Vermont https://t.co/U2CrYlKtuw",2021,7,21
7,2,1417543675647827968,2021-07-20T17:55:23.000Z,"After 47 miles in the rain, after a huge 5 mile climb, awaiting tacos. @ The Mad Taco https://t.co/XoA5Yd6f6f",2021,7,20
8,0,1397257329339478022,2021-05-25T18:24:41.000Z,"Almost 50 miles of hills and descents. @ Woodstock, Vermont https://t.co/OzfkUkdoFV",2021,5,25
9,1,1396872097859833866,2021-05-24T16:53:55.000Z,"First day in VT @ Woodstock, Vermont https://t.co/xizzHifVdM",2021,5,24
10,2,1394290589752037378,2021-05-17T13:55:55.000Z,"@theprogram_nyc is BACK.  The team crushed it today at @thetraininglabnyc @ New York, New York https://t.co/JSICH8ZgHY",2021,5,17
11,0,1368358734079143937,2021-03-07T00:31:59.000Z,"Another amazing day in #sunvalleyidaho @willywalk1212 @jasonvi @ Sun Valley, Idaho https://t.co/72yca0gp9P",2021,3,7
12,0,1332044044231348225,2020-11-26T19:30:22.000Z,"Beautiful ride in the desert. @theprogram_nyc @ Palm Desert, California https://t.co/7Rjx78k6hx",2020,11,26
13,0,1266527578250067968,2020-05-30T00:31:20.000Z,"Evening. @ Bedford Hills, New York https://t.co/gqoYitDYnP",2020,5,30
14,0,1145716113457782790,2019-07-01T15:29:42.000Z,"At the top of a modest climb.  theprogram_nyc lonelyheartscyclingclub cycling @ Townsend, Tennessee https://t.co/IA8KO4Kw3p",2019,7,1
15,0,1145375638741749762,2019-06-30T16:56:46.000Z,Cycling and eating in TN. Not necessarily in that order.  theprogram_nyc lonelyheartscyclingclub @ Becky's Grocery &amp; Grill https://t.co/alBIWgGDHS,2019,6,30
16,0,1130575392253796352,2019-05-20T20:45:53.000Z,"With @madmoneyoncnbc on madmoneyoncnbc tonight.  Always a great conversation. @ Fort Lee, New Jersey https://t.co/59YKlFi8ea",2019,5,20
17,1,1129874867204046855,2019-05-18T22:22:15.000Z,"Finished up the ride.  A good time was had by all. #cycling #becomingageless theprogram_nyc @ Los Olivos, California https://t.co/dBnUUBEJdw",2019,5,18
18,2,1129159161512640517,2019-05-16T22:58:17.000Z,First cycling trip of the season. #california #becomingageless theprogram_nyc #cycling @ Post Ranch Inn https://t.co/lWDRuCtnvQ,2019,5,16
19,0,1104149712159031296,2019-03-08T22:39:40.000Z,"RT @CNBCFastMoney: Take-Two CEO @strausszelnick talks @NBA2KLeague, the future of #esports and the state of the gaming industry https://t.c…",2019,3,8
20,1,1102699280140099584,2019-03-04T22:36:10.000Z,"theprogram_nyc in Deer Valley, with @lancearmstrong and a super fit crew. @ The St. Regis Deer Valley https://t.co/aNQuGrB9Pe",2019,3,4
21,0,1098221499431890944,2019-02-20T14:03:04.000Z,With the fantastic mariabartiromo on Fox Business this morning. https://t.co/TCmWSIuBNZ,2019,2,20
22,0,1098221499431890944,2019-02-20T14:03:04.000Z,With the fantastic mariabartiromo on Fox Business this morning. https://t.co/TCmWSIuBNZ,2019,2,20
23,0,1023658026853642240,2018-07-29T19:54:26.000Z,"Hiking with my buddy Willy Walker.  5+ miles. 3000+ vertical. @ Sun Valley, Idaho https://t.co/ddSp1WWYrE",2018,7,29
