,index,id,created_at,text,year,month,day
0,0,1635653907622813699,2023-03-14T14:47:35.000Z,"At @TractorSupply, our mission is to serve “Life Out Here”. An excellent read from @Forbes and @PamDanziger on urban exodus and the revitalization of rural America. https://t.co/tcFhiI9PIU",2023,3,14
1,0,1628941777267744770,2023-02-24T02:15:58.000Z,"RT @soledadobrien: As you all know @TractorSupply is the absolute best store, EVER. Clothes! Dog food! Seeds for planting! Candy! Power was…",2023,2,24
2,0,1628941777267744770,2023-02-24T02:15:58.000Z,"RT @soledadobrien: As you all know @TractorSupply is the absolute best store, EVER. Clothes! Dog food! Seeds for planting! Candy! Power was…",2023,2,24
3,0,1615870758181556224,2023-01-19T00:36:24.000Z,"Thank you @RepBillJohnson for your support. @TractorSupply is excited to be a larger member of the community. The Navarre distribution center will support our continued growth and passion for Life Out Here. AND, the facility is zero carbon footprint. https://t.co/JgJruG5Vxt",2023,1,19
4,1,1615148060748746752,2023-01-17T00:44:40.000Z,"Proud for @TractorSupply to be included again on @JustCapital’s list. (#188). Since our founding in 1938, we have been committed to investing in our team members, supporting our communities, and preserving life out here for future generations. https://t.co/GQJoOpE8TD https://t.co/CfKVZqz9mq",2023,1,17
5,2,1615147915281825793,2023-01-17T00:44:05.000Z,"Proud for @TractorSupply to be included again on @JustCapital’s list. (#188). Since our founding in 1938, we have been committed to investing in our team members, supporting out communities, and preserving life out here for future generations. https://t.co/nL4GiENZoT https://t.co/CfKVZqz9mq",2023,1,17
6,3,1615142990493749250,2023-01-17T00:24:31.000Z,"Proud for @TractorSupply to be included again on @JustCapital’s list. (#188). Since our founding in 1938, we have been committed to investing our team members, supporting out communities, and preserving life out here for future generations. https://t.co/ht8ZZDNgTb https://t.co/CfKVZqz9mq",2023,1,17
7,0,1603455692177915910,2022-12-15T18:23:22.000Z,"And congratulations to @rmill70, @glennallison, and our entire technology team on being named to @Computerworld’s 2023 List of Best Places to Work in IT https://t.co/ilSUdXqKTS",2022,12,15
8,1,1603455690672160785,2022-12-15T18:23:22.000Z,"Also, proud that @TractorSupply was named to @Newsweek’s 2023 list of America’s Most Responsible Companies. https://t.co/SZYDhFKcyn",2022,12,15
9,2,1603455688621146112,2022-12-15T18:23:21.000Z,Proud that our ABSOLUTE carbon emissions (scope 1 and 2) continue to decline and that we are on track to deliver our 2025 goal of 25% reduction. Very hard to do when you are growing square footage. https://t.co/AyMz0PZlxy,2022,12,15
10,3,1603455665997217792,2022-12-15T18:23:16.000Z,@TractorSupply is committed to preserving Life Out Here for future generations. Today we released our 3rd TCFD report. https://t.co/QtlHBlywVx,2022,12,15
11,4,1599543486453149696,2022-12-04T23:17:39.000Z,"RT @ceoshow: @HalLawton, CEO, @TractorSupply Co. talks about the company’s servant leadership culture and their commitment to empower the w…",2022,12,4
12,0,1603455692177915910,2022-12-15T18:23:22.000Z,"And congratulations to @rmill70, @glennallison, and our entire technology team on being named to @Computerworld’s 2023 List of Best Places to Work in IT https://t.co/ilSUdXqKTS",2022,12,15
13,1,1603455690672160785,2022-12-15T18:23:22.000Z,"Also, proud that @TractorSupply was named to @Newsweek’s 2023 list of America’s Most Responsible Companies. https://t.co/SZYDhFKcyn",2022,12,15
14,2,1603455688621146112,2022-12-15T18:23:21.000Z,Proud that our ABSOLUTE carbon emissions (scope 1 and 2) continue to decline and that we are on track to deliver our 2025 goal of 25% reduction. Very hard to do when you are growing square footage. https://t.co/AyMz0PZlxy,2022,12,15
15,3,1603455665997217792,2022-12-15T18:23:16.000Z,@TractorSupply is committed to preserving Life Out Here for future generations. Today we released our 3rd TCFD report. https://t.co/QtlHBlywVx,2022,12,15
16,4,1599543486453149696,2022-12-04T23:17:39.000Z,"RT @ceoshow: @HalLawton, CEO, @TractorSupply Co. talks about the company’s servant leadership culture and their commitment to empower the w…",2022,12,4
17,0,1585820409152167936,2022-10-28T02:27:03.000Z,"RT @USFRA: No better way to celebrate than dancing for scholarships! Congrats to @TractorSupply  @skold_x and @hallawton
on their $5 Millio…",2022,10,28
18,1,1584620873319088131,2022-10-24T19:00:31.000Z,"We are committed to being stewards of Life Out Here, and are proud to partner with @NationalFFA and @USFRA to create the largest agriculture scholarship program of its kind. The $5 Million donation will help 150 students annually with the cost of education...plus a job offer! https://t.co/j7CttNnZyq",2022,10,24
19,2,1583075525353820160,2022-10-20T12:39:52.000Z,RT @TractorSupply: Today @TractorSupply reported financial results for our third quarter of 2022. Hear our CEO @hallawton discuss the resul…,2022,10,20
20,3,1583067259525746689,2022-10-20T12:07:01.000Z,"RT @SquawkCNBC: ""I think the consumer is being judicious on their spend. That really benefits us because we're demand driven and needs base…",2022,10,20
21,4,1576589902942457856,2022-10-02T15:08:19.000Z,@Grizchick9378 @stuckproblem Thank you @stuckproblem for the tweet. @Grizchick9378 Legendary 🤛 #tractorsupply,2022,10,2
22,0,1562412565354905600,2022-08-24T12:12:38.000Z,Thank you @SarahHuckabee. We are thrilled to be growing in Arkansas. https://t.co/oRWJP3xD3Y,2022,8,24
