,index,id,created_at,text,year,month,day
0,0,1641259188620869633,2023-03-30T02:00:58.000Z,"Great to join @EnriqueJLores at #HPAmplify to share all the work our teams are doing together across AI, hybrid work, and deep co-engineering to enable next-generation experiences starting with the new #DragonflyPro! https://t.co/DGGxvk7iHE",2023,3,30
1,1,1639704566764564480,2023-03-25T19:03:27.000Z,"Gordon Moore and “Moore’s Law” inspired all of us as students, engineers, and leaders in the semiconductor industry.  He was a true visionary and deeply admired.   May he rest in peace.  Our thoughts are with his family and colleagues.",2023,3,25
2,2,1638648930920456198,2023-03-22T21:08:44.000Z,"It was great joining @Adobe CEO Shantanu Narayen today at #AdobeSummit.  Love talking about leadership, semiconductors, high-performance computing and AI. https://t.co/qCTSC1st2s",2023,3,22
3,3,1635240616920743936,2023-03-13T11:25:19.000Z,Congratulations to @WetaFXofficial on winning the best visual effects #Oscar !  @AMD is thrilled that EPYC processors helped bring #AvatarTheWayOfWater to life! https://t.co/odHSNE7BlF,2023,3,13
4,4,1633419344008089600,2023-03-08T10:48:13.000Z,Happy #InternationalWomensDay !!  I'm constantly inspired by the incredibly talented women that we have across @AMD… so proud of all that they do!#IWD2023 https://t.co/IOWazvwP9L,2023,3,8
5,0,1631007010132054041,2023-03-01T19:02:28.000Z,@PatrickMoorhead @AMD @XilinxInc @AMDPensando @AMDServer Thanks Pat!,2023,3,1
6,1,1626446906875338753,2023-02-17T05:02:15.000Z,The Boss @springsteen fantastic tonite ☺️👍 https://t.co/WNbmW5gKim,2023,2,17
7,2,1625597821150810114,2023-02-14T20:48:17.000Z,Happy Valentine’s Day!  Today is a special day as it marks the one year anniversary of Team @XilinxInc joining the @AMD family!  It’s been a phenomenal year and the best is yet to come!  ☺️🎉 https://t.co/OnJVOpGwej,2023,2,14
8,3,1624981266763288576,2023-02-13T03:58:19.000Z,What a great game!  Congratulations to the #SuperBowl Champs @Chiefs https://t.co/JcBLhspl8n,2023,2,13
9,0,1616998046189125632,2023-01-22T03:15:51.000Z,"Happy Lunar New Year! Wishing all of our @amd family and friends a very happy, healthy and prosperous year of the Rabbit!  新年快樂 ! https://t.co/V94y9O3ueO",2023,1,22
10,0,1611064422155575297,2023-01-05T18:17:45.000Z,Big thank you to our amazing partners @panos_panay @EnriqueJLores @MattZielinski @PeggyJ and Bob DeSantis who joined us on stage @CES to talk about how #TogetherWeAdvance the industry with high-performance and adaptive computing #CES2023 https://t.co/L8W3s9QNLN,2023,1,5
