,index,id,created_at,text,year,month,day
0,0,1641845353736724481,2023-03-31T16:50:10.000Z,Thanks @CaseyNewton and @kevinroose for having me on the show this week to talk about our progress on AI. Still think Bard Fork is a great name:) https://t.co/UntDfrdwOI,2023,3,31
1,1,1640758051258138625,2023-03-28T16:49:37.000Z,So excited to be supporting Replit and developers! https://t.co/cDxvFHczao,2023,3,28
2,2,1640757081849618434,2023-03-28T16:45:46.000Z,"RT @dinabass: Google is partnering with AI coding company Replit, which will use Google's LLMs for its Ghostwriter product:
https://t.co/VC…",2023,3,28
3,3,1639449516838637568,2023-03-25T02:09:58.000Z,"RIP Gordon Moore. His vision inspired so many of us to pursue technology, was an inspiration to me. Thoughts with his family and everyone at Intel https://t.co/8bzKDJ8l79",2023,3,25
4,4,1638722549491335169,2023-03-23T02:01:16.000Z,Ramadan Mubarak! Wishing everyone who is observing a peaceful holiday and an easy fast.  https://t.co/GuUO3pILQ2,2023,3,23
5,5,1638718638458044417,2023-03-23T01:45:43.000Z,"RT @rseroter: Ok, so @google Bard is now opened up to more folks (https://t.co/5khJoT7XEF).

I just asked it the most controversial questio…",2023,3,23
6,6,1638180697352593408,2023-03-21T14:08:08.000Z,"We're expanding access to Bard in US + UK with more countries ahead, it's an early experiment that lets you collaborate with generative AI. Hope Bard sparks more creativity and curiosity, and will get better with feedback. Sign up: https://t.co/C1ibWrqTDr 
https://t.co/N8Dzx1m0fc",2023,3,21
7,7,1635651122227728384,2023-03-14T14:36:31.000Z,"RT @AlphaSignalAI: Google AI just announced the PaLM API!

It will be released with a new tool called MakerSuite, which lets you prototype…",2023,3,14
8,8,1635629680316547072,2023-03-14T13:11:18.000Z,"Excited about PaLM API: an easy and safe way for developers to build on top of our language models, and MakerSuite, a tool to jumpstart prototyping - both in private preview today. @googlecloud customers can also access these models + more via Vertex AI. 
https://t.co/ajijHlgdMh",2023,3,14
9,9,1633651596029722624,2023-03-09T02:11:06.000Z,"Inspired by the work of @Googleorg Impact Challenge for Women and Girls recipient @swataleem to support education for girls in India with audio-based learning tools and lessons that can be played over the phone, even without an internet connection #IWD2023 https://t.co/NhaH1LKhvm",2023,3,9
10,10,1633232047170007041,2023-03-07T22:23:58.000Z,"Excited that this year's #GoogleIO will be on May 10, live from Shoreline Amphitheatre in Mountain View and online at https://t.co/sWxfPsVvJi https://t.co/QtNXE6wjl5",2023,3,7
11,0,1629245144955506688,2023-02-24T22:21:27.000Z,"In 2022, we awarded a record $12M in bug bounties to 700+ researchers, including the largest award in our bug bounty program history. Thanks for helping to keep our products safe! 
https://t.co/usCNuPXQgy",2023,2,24
12,1,1628428540206284801,2023-02-22T16:16:33.000Z,"Our latest quantum milestone, in @Nature today: for the 1st time ever, @GoogleQuantumAI has experimentally demonstrated that it's possible to reduce errors by increasing the # of qubits, bringing us a step closer to large-scale quantum computers. #GoogleAI https://t.co/NTh50sPjP8",2023,2,22
13,2,1626297421197373440,2023-02-16T19:08:15.000Z,"It's impossible to express in one tweet all that @SusanWojcicki has done for Google and YouTube. Very grateful for your leadership, insights and friendship over the years, and so happy you're staying on to advise us. Thank you, Susan! https://t.co/eYZENvZ0DY",2023,2,16
14,3,1622674686814601217,2023-02-06T19:12:47.000Z,"5/ Developers can soon try our Generative Language API, initially powered by LaMDA with a range of models to follow. Over time, our goal is to create a set of tools and APIs that will make it easy for others to build more innovative applications with AI.",2023,2,6
15,4,1622674382069059591,2023-02-06T19:11:35.000Z,"4/ As people turn to Google for deeper insights and understanding, AI can help us get to the heart of what they're looking for. We're starting with AI-powered features in Search that distill complex info into easy-to-digest formats so you can see the big picture then explore more https://t.co/BxSsoTZsrp",2023,2,6
16,5,1622674009203834880,2023-02-06T19:10:06.000Z,"3/ We'll combine their feedback with our own internal testing to make sure Bard's responses meet our high bar for quality, safety, and groundedness and we will make it more widely available in coming weeks. It's early, we will launch, iterate and make it better.",2023,2,6
17,6,1622673775182626818,2023-02-06T19:09:10.000Z,"2/ Bard seeks to combine the breadth of the world's knowledge with the power, intelligence, and creativity of our large language models. It draws on information from the web to provide fresh, high-quality responses. Today we're opening Bard up to trusted external testers. https://t.co/QPy5BcERd6",2023,2,6
18,7,1622673369480204288,2023-02-06T19:07:33.000Z,"1/ In 2021, we shared next-gen language + conversation capabilities powered by our Language Model for Dialogue Applications (LaMDA). Coming soon: Bard, a new experimental conversational #GoogleAI service powered by LaMDA. 
https://t.co/cYo6iYdmQ1",2023,2,6
19,8,1622648907909189632,2023-02-06T17:30:21.000Z,"Thinking of everyone in Türkiye and Syria who are experiencing devastating loss after the earthquakes. We've activated SOS alerts to provide relevant emergency information to those impacted, and @Googleorg and Googlers will be supporting relief and recovery efforts.",2023,2,6
20,0,1621618140240310273,2023-02-03T21:14:27.000Z,"Proud that @googlecloud is providing open infrastructure for the next generation of AI startups. Our new partnership with @AnthropicAI will help them take the power of our large-scale TPUs and GPUs to accelerate safe, cutting-edge AI development. https://t.co/TT09WOUgKs",2023,2,3
21,1,1620872748749950976,2023-02-01T19:52:32.000Z,"Inspiring to see that 1M+ researchers have used @DeepMind #AlphaFold to help in their work, solving problems across sustainability, drug discovery, human biology + more. https://t.co/pf4T1p93FV https://t.co/xgXrQwYXpT",2023,2,1
22,2,1615820298305118221,2023-01-18T21:15:54.000Z,"Summary of great research progress on #GoogleAI, including language models, computer vision, multimodal models, generative ML. We're building it all into current and upcoming products + APIs, look forward to sharing more with everyone soon. Stay tuned! 
https://t.co/bGzLSfxZ0A https://t.co/xAJql9WH4h",2023,1,18
23,3,1614035190535589888,2023-01-13T23:02:31.000Z,"One of our new @googlecloud AI tools uses machine learning models to identify billions of products based on visual and text features, helping retailers check their in-store shelf stock. Lots more in store for #GoogleAI in 2023, stay tuned! 
https://t.co/YcSJzMFy59",2023,1,13
