,index,id,created_at,text,year,month,day
0,0,1641459023563362306,2023-03-30T15:15:02.000Z,"With over 3K Amazon electric delivery vans from @Rivian now on the road in 500+ cities, we’re seeing great momentum on our EV deployment. To date, 75M packages have been delivered from our custom vans and will climb faster in the months &amp; yrs ahead! https://t.co/TemBCTRmjQ",2023,3,30
1,1,1638526662701879297,2023-03-22T13:02:53.000Z,"New collaboration with @PaneraBread will let customers, for the first time, use their palm to access MyPanera rewards and pay. One of the many ways Amazon One, our palm recognition service, is helping to remove friction from the customer experience. https://t.co/9kdXctk2hQ",2023,3,22
2,2,1635649475082612737,2023-03-14T14:29:58.000Z,"Today, we're excited to share a first look at our 3 customer antennas for Project Kuiper, Amazon’s forthcoming low Earth orbit satellite network. Good progress in our mission to bring satellite broadband to unserved &amp; underserved communities.  https://t.co/w938BzCAdG",2023,3,14
3,3,1635120537205891074,2023-03-13T03:28:09.000Z,"Congrats to Sarah Polley and the cast and crew of this powerful film! Well deserved, and so happy for our @MGMStudios and @AmazonStudios teams. #Oscars95 https://t.co/1O1rBLl8ho",2023,3,13
4,0,1630301777185898496,2023-02-27T20:20:07.000Z,"Two Amazon Air cargo planes landed in Istanbul this weekend w/ 100,000 pounds of relief supplies including tents, sleeping bags, blankets &amp; heaters. Thx to our teams &amp; partner orgs for this joint effort to help earthquake survivors in Türkiye &amp; Syria. https://t.co/PYZPtKYdYs https://t.co/Nmmk6GvXBG",2023,2,27
5,1,1628410029518000128,2023-02-22T15:03:00.000Z,"Getting great health care is often too difficult and inconvenient. Today, we’re excited to announce that @OneMedical has joined Amazon and our mission to make it dramatically easier for customers to get what they need to stay healthy. https://t.co/IoHWxEZrJY https://t.co/d5IeMZjkWm",2023,2,22
6,2,1625507746648047618,2023-02-14T14:50:21.000Z,Exciting progress by the Zoox team! First time in history a robotaxi has driven autonomously on open public roads with passengers. Congrats to the team and excited for more milestones to come! https://t.co/5HiFwptBr9,2023,2,14
7,0,1622739218207510529,2023-02-06T23:29:13.000Z,"Tragic news out of Turkey and the surrounding region. We’re activating Amazon’s logistics and delivery network to quickly get donated relief items such as blankets, tents, heaters, food, diapers, baby food &amp; medicine to those in need. https://t.co/aQjfJ5vcsF",2023,2,6
8,1,1620954323160281089,2023-02-02T01:16:41.000Z,"Well done, Darrell! https://t.co/fMllQMDxlE",2023,2,2
9,2,1617884854460518404,2023-01-24T13:59:42.000Z,"Nearly half of adults take 2 or more medications daily &amp; many find it hard to afford them. Am excited about launching RxPass to help. For just $5 a month, Prime members can fill all their eligible medications (shipping included, no hidden fees or markups). https://t.co/Xfo4qCV3zw",2023,1,24
10,3,1615014827520581632,2023-01-16T15:55:15.000Z,"Thinking today about Dr. King's legacy and the continued work required to build a more just and inclusive world. Progress has been made, but still a long way to go. Something we’ll all need to be relentless about for many years to come.",2023,1,16
11,0,1612938396594475008,2023-01-10T22:24:15.000Z,"Excited to be expanding Buy With Prime, letting more merchants offer fast, free delivery on their websites to Prime customers. Early tests show shopper conversion increases an avg of 25% when using Buy With Prime. Compelling for merchants &amp; Prime customers.https://t.co/8t8lzgSO9E",2023,1,10
12,1,1609207906263760901,2022-12-31T15:20:37.000Z,"Proud of our Thursday Night Football team for making history this season with 4 of most watched telecasts of 2022, 1st time ever a streamer has had programs on this list. Even more proud of the quality of the broadcast this team produced every week. And, just year one… https://t.co/1nqzyePNg3",2022,12,31
13,2,1605227280691003392,2022-12-20T15:43:02.000Z,Love seeing notes like this from customers who see our @Rivian EV delivery vans out and about. Excited to share that we just hit the 10 millionth package delivered since our first Rivian EV hit the road in July. #ClimatePledge https://t.co/oaURQlcATi,2022,12,20
14,0,1603792146020339712,2022-12-16T16:40:19.000Z,Loved meeting our special group of Amazon Prime members we invited to last night’s Thursday Night Football game. Thank you to the millions of fans who watch @NFLonPrime every week... https://t.co/n2guUDKg4F,2022,12,16
15,1,1600299482494939136,2022-12-07T01:21:43.000Z,"Am excited to see HBO Max back on @PrimeVideo. It’s great for Prime customers, and we continue to work hard to make Amazon an easy one stop shop for customers to enjoy the best and widest selection of premium content available. https://t.co/x5X3fXjZ1J",2022,12,7
16,0,1591081811161264130,2022-11-11T14:53:59.000Z,"Throughout history, brave men and women have answered the call of duty when they’ve been needed most. Thank you to our over 50k Amazon military veterans and spouses, and all who have served. Incredibly grateful for your service. https://t.co/VELFBFKMwr",2022,11,11
17,0,1587449674277191680,2022-11-01T14:21:10.000Z,"Excited about meaningfully enhancing our music benefit for Prime members. Starting today, Prime members can now shuffle play more than 100 million songs (up from 2 million) on @AmazonMusic, and listen to many top podcasts ad-free. https://t.co/b65bmXnFR7",2022,11,1
18,1,1583090508943200256,2022-10-20T13:39:24.000Z,"Loved visiting our Boston Robotics center, where our team is working hard on inventing robotics that help keep our employees safe and improve delivery for our customers. Excited about what the team is working on. https://t.co/4MkICPYPE7",2022,10,20
19,2,1582173599250931712,2022-10-18T00:55:56.000Z,Proud of how Amazon continues to help in times of urgent need…thx to the collective Amazonians who are making this happen! https://t.co/HILRmZZSmf,2022,10,18
20,3,1580229970135506945,2022-10-12T16:12:38.000Z,"Nearly impossible to imagine what it would be like to flee your country &amp; have to start over… to help millions of Ukrainians who now face this &amp; those still in the country, we are offering them free cloud skills training &amp; AWS Certification vouchers. https://t.co/GOvsm08MQK",2022,10,12
21,0,1579785436243070977,2022-10-11T10:46:13.000Z,Excited to be kicking off the holiday season early this year for our Prime members. Prime Early Access sale starts today... https://t.co/K0NwKshw1G,2022,10,11
22,1,1579576205183168513,2022-10-10T20:54:49.000Z,Enjoyed being in Dartford today visiting one of our 30 Amazon fulfillment centers here in the UK (+80 across Europe). Very impressed by the site leadership &amp; thankful for the chance to meet so many of our team members throughout the tour. Thank you for taking care of customers! https://t.co/oltzwllE0B,2022,10,10
23,2,1579320499506933760,2022-10-10T03:58:44.000Z,Amazon is committing €1 billion to further electrify &amp; decarbonize our transportation network across Europe. Will help us shift further away from traditional fossil fuels &amp; scale innovation. Very important we continue to invest in a sustainable future. https://t.co/onnmgR8lI7,2022,10,10
24,3,1575204073338720256,2022-09-28T19:21:31.000Z,Great Amazon Devices event today... here’s a look at the new products we announced and how they further our vision for ambient intelligence—technology that’s there for customers when they need it &amp; disappears when they don’t. https://t.co/PJtOM0Hstm,2022,9,28
