,index,id,created_at,text,year,month,day
0,0,1641906885531152384,2023-03-31T20:54:41.000Z,"At Apple, we proudly stand with all trans and gender non-conforming people, and we are deeply committed to building an inclusive environment — and a better world — where everyone feels they belong. #TransDayOfVisibility",2023,3,31
1,1,1641887970151251968,2023-03-31T19:39:31.000Z,"We’re thrilled to open Apple Gangnam, a wonderful new space for customers to explore our latest products and services in Seoul. 🇰🇷 https://t.co/GRmP4Vb7z8",2023,3,31
2,2,1641471674854920193,2023-03-30T16:05:19.000Z,"Our team was so excited to host NewJeans for a special sneak peek at Apple Gangnam, we can’t wait to open our doors and welcome customers tomorrow in Seoul. https://t.co/Gly78e1Zmx",2023,3,30
3,3,1640857988503158785,2023-03-28T23:26:44.000Z,"Get ready for an incredible experience with Apple Music Classical, the world’s largest classical music catalog at your fingertips, available now and in spatial audio. This is “A Major” achievement!  🎼 https://t.co/s66GOODrf2",2023,3,28
4,4,1639981574035763201,2023-03-26T13:24:11.000Z,Our hearts go out to the people and communities affected by severe storms across the South. Apple will be donating to relief and recovery efforts.,2023,3,26
5,5,1639448520582221824,2023-03-25T02:06:01.000Z,"The world lost a giant in Gordon Moore, who was one of Silicon Valley’s founding fathers and a true visionary who helped pave the way for the technological revolution. All of us who followed owe him a debt of gratitude. May he rest in peace.",2023,3,25
6,6,1638706274924904449,2023-03-23T00:56:36.000Z,Ramadan Mubarak to all those observing! May your days be filled with the joy of community. 🌙🌇,2023,3,23
7,7,1635667145878302721,2023-03-14T15:40:11.000Z,Hello Yellow! https://t.co/2npveTHfH7,2023,3,14
8,8,1635103856744091648,2023-03-13T02:21:52.000Z,"Congratulations to the team behind The Boy, the Mole, the Fox and the Horse on their Academy Award! Your beautiful short tells an enduring story about the meaning of kindness, acceptance, and hope.",2023,3,13
9,9,1633480077701955584,2023-03-08T14:49:33.000Z,"We are proud to lift up the voices of women leaders and storytellers who are helping shape the future. As we celebrate International Women’s Day, let’s recommit to the work of building a more equitable and just world.",2023,3,8
10,10,1633377217131454472,2023-03-08T08:00:49.000Z,The Greyhounds are back! Can’t wait for everyone to see Ted Lasso Season 3. #WeAreRichmond https://t.co/YGma7lFapQ,2023,3,8
11,11,1633295187501006848,2023-03-08T02:34:52.000Z,"Happy Holi to all who celebrate. Thanks to Gursimran Basra and Apeksha Maker for these photos that capture the spirit of the festival, #ShotOniPhone. https://t.co/pShk4tOCIp",2023,3,8
12,0,1629660377414762496,2023-02-26T01:51:26.000Z,Major League Soccer is back and more exciting than ever — it's never been a better time to be an MLS fan. Watch every match starting today on #MLSSeasonPass.,2023,2,26
13,1,1629134630296363011,2023-02-24T15:02:18.000Z,"People with the most to teach live like they have the most to learn — and Steve loved learning. He was the most curious person I’ve ever met, which made him the best teacher I’ve ever known. Happy birthday, my friend. https://t.co/J45swZfZQ8",2023,2,24
14,2,1628047300361850883,2023-02-21T15:01:38.000Z,"From exploring how cancer therapies for children impact heart rhythm to learning how wildfire smoke impacts our cardiac health, here’s a fascinating look at how doctors and researchers are using Apple Watch to expand our knowledge of the heart. #HeartMonth https://t.co/IiHSgXrIL0",2023,2,21
15,3,1626314308459315200,2023-02-16T20:15:21.000Z,"Congratulations, @raye, on your wonderful debut album, My 21st Century Blues. Sounds great in Spatial Audio! https://t.co/T8s5KoQLkW",2023,2,16
16,4,1625538528687030272,2023-02-14T16:52:40.000Z,Happy Valentine’s Day from all of us at Apple.,2023,2,14
17,5,1624976304054611968,2023-02-13T03:38:36.000Z,"What a game! Congratulations, Kansas City!",2023,2,13
18,6,1624960950863564801,2023-02-13T02:37:35.000Z,One of the greats! Amazing show from @Rihanna. #AppleMusicHalftime https://t.co/Q0kQlaeclU,2023,2,13
19,7,1624801870744293376,2023-02-12T16:05:28.000Z,I loved spending part of Super Bowl weekend with one of the greatest teams in the country — the retail team at Apple Scottsdale Fashion Square! https://t.co/nSIPELt5Wh,2023,2,12
20,8,1623851327817383936,2023-02-10T01:08:20.000Z,"The first @IndiaArtFair Digital Artists in Residence program shows how technology can unlock creativity. Great to see how iPad Pro is helping artists Mira, Varun, and Gaurav to tap into such incredible creative expression. https://t.co/ipvlwoZ8cU",2023,2,10
21,9,1623778422307815424,2023-02-09T20:18:38.000Z,There is no dream too big. #AppleMusicHalftime https://t.co/GbCMPAD0XX,2023,2,9
22,10,1622627873524965380,2023-02-06T16:06:46.000Z,"Sending our thoughts and condolences to the people of Turkey, Syria, and anyone affected by the devastating earthquakes. Apple will be donating to relief and recovery efforts.",2023,2,6
23,0,1621902486960500737,2023-02-04T16:04:21.000Z,"Check out this beautiful Bollywood film from director @VishalBhardwaj that explores what might happen if you could see into the future. Incredible cinematography and choreography, and all #ShotoniPhone.  https://t.co/32LODwy3vb",2023,2,4
24,1,1617926717229916161,2023-01-24T16:46:03.000Z,"We believe privacy is a fundamental human right. We work tirelessly to build privacy into every product and feature from the ground up. This Data Privacy Day, we're also launching a new Today at Apple session to help users learn how to protect their data. https://t.co/gqQKfLfNTS",2023,1,24
