,index,id,created_at,text,year,month,day
0,0,1529132442149429250,2022-05-24T16:09:18.000Z,"Had the opportunity to have @johnkriesel speak to our team and our carrier of the year award winners.  Great leader, great message.  Thank you for your service. https://t.co/KgF8RUQ73A",2022,5,24
1,0,1456010934116364289,2021-11-03T21:30:32.000Z,"Thanks to @CarterEvans and @GayleKing of @CBSMornings for having me on this morning to offer perspective on global supply chain issues, which are underscoring the importance of scale and tech in tracking and navigating challenges while remaining agile. https://t.co/ptmwMuubT5",2021,11,3
2,0,1454224502481694722,2021-10-29T23:11:54.000Z,Another great global town hall meeting with our team.  Thanks for all you do to meet the needs of our customers in this challenging environment! https://t.co/oggSmibkqT,2021,10,29
3,1,1454222856116740106,2021-10-29T23:05:21.000Z,Thanks to @MariaBartiromo and @FoxBusiness for having me on to talk about the importance of leveraging tech and expertise to solve ongoing #supplychain challenges. https://t.co/ekktNEqGiG,2021,10,29
4,2,1453468929150574593,2021-10-27T21:09:31.000Z,@CHRobinson @CNBC Thank you @MorganLBrennan  and @carlquintanilla  for having me on to talk through Q3 results and how @CHRobinson is able to help customers continue to succeed in this environment.,2021,10,27
5,0,1443632136943177734,2021-09-30T17:41:37.000Z,"Thank you to @BrianSozzi, @JulesHyman, and @YahooFinance for having me on this morning to discuss current market trends and how technology is helping carriers and shippers to improve supply chain resiliency.
https://t.co/CuIBZH7yUQ",2021,9,30
6,0,1434227470954287114,2021-09-04T18:50:50.000Z,@bugsypoopypants See ya in Indy!!,2021,9,4
7,1,1433931741241266176,2021-09-03T23:15:42.000Z,@bugsypoopypants Hoping we fare better against Miami of Ohio next week.,2021,9,3
8,0,1425151835590086658,2021-08-10T17:47:30.000Z,@TerrellePryor thanks for going out of your way and making my sons day!  Go Bucks!! #futurebuckeye https://t.co/PdQkSJCmds,2021,8,10
9,0,1347612849586253825,2021-01-08T18:35:15.000Z,@FrankCNBC @CHRobinson @SquawkStreet @MorganLBrennan @carlquintanilla @davidfaber @CNBC @FrankCNBC @MorganLBrennan @CNBC @SquawkStreet Thanks for the great discussion and having me on. https://t.co/5Gyrvxy8wz,2021,1,8
10,1,1347609570978488320,2021-01-08T18:22:13.000Z,"RT @FrankCNBC: Talking with the CEO of @CHRobinson about Asia to US shipping, US trucking and the current global freight environment on @Sq…",2021,1,8
11,2,1346965605262499840,2021-01-06T23:43:20.000Z,RT @BizRoundtable: Business Roundtable Statement: https://t.co/QipzYdyJjh,2021,1,6
12,0,1323258928755593219,2020-11-02T13:41:28.000Z,"RT @CHRobinson: Recently, thousands of our employees from across the globe gathered for a live, virtual town hall. In addition to answering…",2020,11,2
13,0,1284452002584498176,2020-07-18T11:36:36.000Z,RT @winonastateu: Best public colleges for getting a job? Our very own Winona State University is #4 -- and best in MN! 🌟 #WarriorPride #Wa…,2020,7,18
14,0,1227285227200012289,2020-02-11T17:36:14.000Z,Ready for Valentine’s Day?  Chances are the  @CHRobinson  Floral Solutions team had a hand in getting those flowers to a retailer near you!  Great to spend some time with them in Miami! Nice work team!! https://t.co/Ss4qkm2NTl,2020,2,11
15,0,1220910645102727168,2020-01-25T03:25:55.000Z,RT @CHRobinson: Our Chief Human Resources Officer shared ways we celebrate and empower women as supply chain professionals at last night's…,2020,1,25
16,0,1214164563039526912,2020-01-06T12:39:24.000Z,RT @CHRobinson: Cheers to a successful and prosperous 2020! Thank you to @foundersbrewing for the celebratory beverages and an excellent 20…,2020,1,6
