,index,id,created_at,text,year,month,day
0,0,1634269250503294977,2023-03-10T19:05:27.000Z,".@VivintHome welcome to the @nrgenergy family. The connected future is here and, together, we are bringing customers new, exciting ways to intelligently manage their homes. https://t.co/Lidvs3rgal",2023,3,10
1,1,1633920761898360837,2023-03-09T20:00:41.000Z,"How will power markets change? I shared my thoughts today at #CERAWeek. To start, it is time to bring consumers’ demand-side potential into the equation. https://t.co/zHyEMaz3rj",2023,3,9
2,0,1650590318096424965,2023-04-24T19:59:32.000Z,"Every day, our choices are shaping the future and opening the door to a brighter, more #sustainable world. https://t.co/iCFh2FT28B",2023,4,24
3,1,1646183037191716877,2023-04-12T16:06:35.000Z,".@nrgenergy is evolving, and I look forward to our team bringing new possibilities to our customers. https://t.co/4Rq0nbFahU",2023,4,12
4,0,1650590318096424965,2023-04-24T19:59:32.000Z,"Every day, our choices are shaping the future and opening the door to a brighter, more #sustainable world. https://t.co/iCFh2FT28B",2023,4,24
5,1,1646183037191716877,2023-04-12T16:06:35.000Z,".@nrgenergy is evolving, and I look forward to our team bringing new possibilities to our customers. https://t.co/4Rq0nbFahU",2023,4,12
6,0,1634269250503294977,2023-03-10T19:05:27.000Z,".@VivintHome welcome to the @nrgenergy family. The connected future is here and, together, we are bringing customers new, exciting ways to intelligently manage their homes. https://t.co/Lidvs3rgal",2023,3,10
7,1,1633920761898360837,2023-03-09T20:00:41.000Z,"How will power markets change? I shared my thoughts today at #CERAWeek. To start, it is time to bring consumers’ demand-side potential into the equation. https://t.co/zHyEMaz3rj",2023,3,9
8,0,1605997139657510912,2022-12-22T18:42:10.000Z,"We have much to be proud of this year. I am grateful to the NRG team for all that we have accomplished, and I am excited about what the new year brings. Wishing everyone an enjoyable and safe holiday season. https://t.co/56OgCnWRuI",2022,12,22
9,1,1603470378000650266,2022-12-15T19:21:43.000Z,Our differences are what make us great and our second annual #DayofUnderstanding celebrated just that. Thank you to @DeepaPuru for hosting an insightful conversation about the relationship between psychological safety and employee engagement. https://t.co/oxq8huxtvs,2022,12,15
10,0,1595778434223198208,2022-11-24T13:56:41.000Z,I am incredibly grateful for the talented NRG team and all the customers that allow us to serve them. I hope you all have a safe and relaxing #Thanksgiving. https://t.co/TsFqz6D25R,2022,11,24
11,0,1591095673155637248,2022-11-11T15:49:04.000Z,Thank you to all veterans for your selfless and brave service. #VeteransDay https://t.co/pt6RrskJhA,2022,11,11
12,1,1590054990386987008,2022-11-08T18:53:46.000Z,Had a great time today at the @HoustonFoodBank celebrating 15 years of NRG service to the communities where we work and live. #positiveNRG https://t.co/gb9X4Y1kBS,2022,11,8
13,2,1589678427300585479,2022-11-07T17:57:26.000Z,2022 World Series Champions! Congrats to the Houston @Astros on an incredible season. #WorldSeries #LevelUp #GoStros https://t.co/Qu6DOiHN7J,2022,11,7
14,3,1585371187215204354,2022-10-26T20:42:00.000Z,Thank you to @Gartner_inc for recognizing NRG’s commitment to building a culture rooted in our values and made possible by our incredible people. Congratulations to the NRG team. #GartnerHR https://t.co/JwoXkUbcbZ,2022,10,26
15,0,1580566122415685633,2022-10-13T14:28:23.000Z,Congratulations to the winners of the 2022 CX Awards. Thank you for your commitment to excellence. https://t.co/vuHNumFFiO,2022,10,13
16,0,1573388597348421634,2022-09-23T19:07:28.000Z,Thanks for the great discussion about the New Mainstream Economy. Our future is increasingly multicultural and that represents a unique opportunity for talent development and growth. https://t.co/Cb30I425sQ,2022,9,23
17,0,1567851298921320449,2022-09-08T12:24:13.000Z,Thank you for the opportunity to share the importance of corporate responsibility at the @amsocmx #ConvencionBinacional. It was an honor to be recognized by @USAmbMex and @lrubin for our efforts in this area. https://t.co/NXfs0Ga4CB,2022,9,8
18,1,1567849685712248832,2022-09-08T12:17:48.000Z,Gracias a la @amsocmx por la oportunidad de platicar sobre la importancia de la responsabilidad social empresarial durante su #ConvencionBinacional. Un honor recibir el reconocimiento de @USAmbMex y @lrubin por nuestros esfuerzos. https://t.co/CwJY36L19a,2022,9,8
19,0,1544003307420663810,2022-07-04T17:00:49.000Z,"To all our @nrgenergy employees, customers, and friends, I hope you have a relaxing and safe #FourthofJuly.",2022,7,4
20,0,1539261009856237568,2022-06-21T14:56:37.000Z,I am pleased to share our 12th annual sustainability report. A huge thanks to all NRG employees for their dedication and impact as we work towards a cleaner future. Read our report here. https://t.co/gyrFWzLe1H #NRGsustainability,2022,6,21
21,0,1539261009856237568,2022-06-21T14:56:37.000Z,I am pleased to share our 12th annual sustainability report. A huge thanks to all NRG employees for their dedication and impact as we work towards a cleaner future. Read our report here. https://t.co/gyrFWzLe1H #NRGsustainability,2022,6,21
22,0,1474379584892190751,2021-12-24T14:01:00.000Z,Wishing everyone a happy and healthy holiday season. #HappyHolidays https://t.co/vZfv1HMTCy,2021,12,24
23,1,1474091101376204811,2021-12-23T18:54:40.000Z,"It's an honor to see NRG's #sustainability leadership recognized by the prestigious SEAL awards this year. This recognition validates our strategy and the hard work of many teams throughout the company, all working to advance progress against climate change. https://t.co/gUNGyfQNME",2021,12,23
24,0,1463903263930163203,2021-11-25T16:11:50.000Z,I'm incredibly grateful for all of the people who make @nrgenergy a special place to work and the customers who we serve. Hoping everyone has a safe and restful holiday. #Thanksgiving https://t.co/CP7rEnRRtx,2021,11,25
25,1,1463263368874180608,2021-11-23T21:49:07.000Z,"Each year, our customer's submissions for our Excellence in Energy Awards become more and more impressive. We're honored to help leading organizations like these achieve their goals. #CustomerFocus https://t.co/4XhS1Ys7gF",2021,11,23
26,0,1460365974885089284,2021-11-15T21:55:55.000Z,📸: @HoustonFoodBank,2021,11,15
27,1,1460365683494117379,2021-11-15T21:54:45.000Z,"PositiveNRG Week is always my favorite week of the year, and this year’s event was especially meaningful. After months of virtual collaboration, it was great to safely volunteer in person and help address food insecurity in our communities. #positiveNRG #community https://t.co/2rzKD13VsP",2021,11,15
28,2,1458941949038182409,2021-11-11T23:37:21.000Z,We're electrifying our fleet and look forward to helping our customers do the same. Incredibly proud to be one of the @ClimateGroup #EV100's newest members. https://t.co/r4szTxghUe,2021,11,11
29,3,1458902529916522517,2021-11-11T21:00:42.000Z,"Thank you, @MBazilian. I’m very much looking forward to joining you and the @coschoolofmines next week—it should be a great conversation. https://t.co/bnV5oyLVkP",2021,11,11
30,4,1454453470199681029,2021-10-30T14:21:44.000Z,"With the arrival of #COP26, there’s no better time for global leaders to join together in support of climate action. Tackling climate change is good for business and good for our communities. https://t.co/1Z3Qwb6i7F",2021,10,30
31,5,1453812200599064577,2021-10-28T19:53:33.000Z,"At @nrgenergy, customer experience goes deeper than products we sell—it's driving our forward progress. #CX https://t.co/uVru7Srjgt",2021,10,28
32,0,1450144236007997443,2021-10-18T16:58:22.000Z,"Thank you, @TheCLC2021 for recognizing our @sciencetargets goal and progress towards net-zero. https://t.co/vJOYrKEoWv",2021,10,18
33,1,1448773425040961537,2021-10-14T22:11:16.000Z,"Thank you, @nelldd and @Forbes, for hosting this conversation. The path to progress is paved with many small steps in the right direction, and at @nrgenergy, we're well on our way. https://t.co/dHkBhN5JR0",2021,10,14
34,2,1446542493961629697,2021-10-08T18:26:20.000Z,"It’s an honor to be recognized for board diversity as we work towards equity for all. 
https://t.co/8u2eCJk0Oi https://t.co/w09ld7MQwY https://t.co/dvfdoqSgoN",2021,10,8
35,3,1445777394640384013,2021-10-06T15:46:06.000Z,"This collaboration with @madebygoogle brings yet another option to our customers in support of clean energy, and we’re proud to help simplify sustainable energy at home. https://t.co/G1dVxx1vlm",2021,10,6
36,0,1434880036025294849,2021-09-06T14:03:54.000Z,All that we have accomplished this year can be attributed to our incredible team. I hope everyone is enjoying a safe Labor Day. https://t.co/iwFlWFcIkq,2021,9,6
37,0,1434880036025294849,2021-09-06T14:03:54.000Z,All that we have accomplished this year can be attributed to our incredible team. I hope everyone is enjoying a safe Labor Day. https://t.co/iwFlWFcIkq,2021,9,6
38,0,1399387597097537539,2021-05-31T15:29:37.000Z,"Each year, #MemorialDay reminds us that service is not without sacrifice. May we all spend today in gratitude. https://t.co/zdn7NGTNR3",2021,5,31
39,0,1385329003209297920,2021-04-22T20:25:47.000Z,"Let’s celebrate #EarthDay every day through collective action and a commitment to considering our planet in our daily choices. Together, our actions can drive both progress and opportunity. #Sustainability https://t.co/9S0q6pBXVT",2021,4,22
40,1,1384598145791938562,2021-04-20T20:01:37.000Z,"Congratulations @CarbonCure and @co2concrete on winning the NRG COSIA Carbon @xprize. 

#climatechange #carbontech #carbonremoval #techforgood https://t.co/UkG3LYtBGf",2021,4,20
41,0,1352322341762723844,2021-01-21T18:29:05.000Z,"I commend @POTUS for returning the U.S. to the #ParisAgreement as one of his first acts in office. As an early signatory of @wearestillin, @nrgenergy has always recognized the importance  of having a seat at the global table as we work towards a clean energy future. https://t.co/iOiODNt2Wl",2021,1,21
42,1,1351205237126795264,2021-01-18T16:30:07.000Z,On this #MLKday let’s reflect on the values Dr. King stood for as we continue our pursuit of equality and justice. https://t.co/bCwV2mVtCx,2021,1,18
43,2,1348727383575195649,2021-01-11T20:24:01.000Z,"@greentechlady @elsamary @GreenBiz Heather, it’s an honor to be recognized for our #sustainability efforts. Thank you!",2021,1,11
44,3,1348721439629783040,2021-01-11T20:00:23.000Z,"@makower @elsamary @GreenBiz Thank you, Joel. It’s an honor to be recognized.",2021,1,11
45,4,1346493542663860226,2021-01-05T16:27:31.000Z,"It’s official, @DirectEnergy is now part of @nrgenergy. Together, we’ll bring millions of customers throughout the U.S. and Canada even more choices to unlock the power of #energy in their lives.  Read more: https://t.co/xIbbZqmDSa",2021,1,5
46,5,1344739123307962368,2020-12-31T20:16:05.000Z,Very proud of all that we accomplished in 2020—sending a huge thank you to everyone at @nrgenergy for supporting one another and the business this year.  See our #YearInReview: https://t.co/aGSXJ0qmxP https://t.co/1JnUyXDd64,2020,12,31
47,0,1341062427417452544,2020-12-21T16:46:13.000Z,"2020 was an unprecedented year, challenging us to reprioritize, work smarter, and find new ways of connecting. Thank you to all of our colleagues and partners who joined us for this journey—and here’s to 2021 and the possibility the new year will bring. #HappyHolidays https://t.co/TUdebw0krP",2020,12,21
48,1,1337041557313249281,2020-12-10T14:28:42.000Z,"I'm proud to add another 'first' to @nrgenergy's track-record of #sustainability leadership. Our carbon reduction goals are impactful, and we're taking real actions to achieve them. https://t.co/HS02IAhGq1",2020,12,10
