,index,id,created_at,text,year,month,day
0,0,1550509775829381122,2022-07-22T15:55:12.000Z,Thank you to @MassTLC for including @PTC in their most recent #StateoftheTechEconomy report. We love being part of this amazing tech hub and helping to make it stronger and more inclusive. Get the report here: https://t.co/cCB4KyqY0i https://t.co/4Fi18MUONR,2022,7,22
1,0,1526214648890118146,2022-05-16T14:55:02.000Z,PTC’s 2020-2021 CSR report showcases our leadership in digital innovation and how it enables social and environmental transformation in the physical world. This marks the beginning of a new chapter for @PTC: https://t.co/YpqbUkvxBv https://t.co/fvW7pIGA8x,2022,5,16
2,0,1514687063785885709,2022-04-14T19:28:32.000Z,RT @iotbusinessnews: #IoTarticle : What CEOs talked about in Q1/2022 - by #IoTAnalytics - #IoT https://t.co/1snTWWNlse via @iotbusinessnews,2022,4,14
3,0,1498676126906036230,2022-03-01T15:06:47.000Z,"RT @HarpakULMA: Today, in a big step in our digital transformation journey, Harpak-ULMA and PTC participated in the ribbon cutting for our…",2022,3,1
4,0,1491131991097544706,2022-02-08T19:29:05.000Z,.@PTC Q1 FY’22 Earnings,2022,2,8
5,0,1483832093398515722,2022-01-19T16:01:53.000Z,RT @PTC: The @usairforce expands its use of @Servigistics to further modernize its service parts supply chain.,2022,1,19
6,1,1483499437678731264,2022-01-18T18:00:02.000Z,"When data is trapped in siloes across teams, companies lack visibility into energy consumption. The solution? An #IIoT foundation.  

Thank you @wef for including me in this discussion on how we can create a more sustainable future.",2022,1,18
7,0,1483832093398515722,2022-01-19T16:01:53.000Z,RT @PTC: The @usairforce expands its use of @Servigistics to further modernize its service parts supply chain.,2022,1,19
8,1,1483499437678731264,2022-01-18T18:00:02.000Z,"When data is trapped in siloes across teams, companies lack visibility into energy consumption. The solution? An #IIoT foundation.  

Thank you @wef for including me in this discussion on how we can create a more sustainable future.",2022,1,18
9,0,1455923237800534019,2021-11-03T15:42:04.000Z,"I had the pleasure of being a guest on @ThisWeekInXR Podcast. @CharlieFink, @VirtualTedS, and I discussed everything from my take on the #Metaverse, hybrid work models, and how #DigitalTransformation is influencing our world. 
https://t.co/CAJTs6vSDD",2021,11,3
10,0,1454131015757205510,2021-10-29T17:00:25.000Z,RT @PTC: .@JimHeppelmann and @SteveDertien took the stage at this year’s #ManufacturingLive to spotlight how digital transforms the physica…,2021,10,29
11,1,1452636070336602123,2021-10-25T14:00:02.000Z,Did you know that 22 veterans are tragically lost to suicide every day? That’s why @HomebaseProgram and @PTC have joined forces to create the 22K Push-Up Challenge to bring awareness to this very real issue. Join the challenge with me: https://t.co/HYtXF9AenO https://t.co/UDnCDoeaQV,2021,10,25
12,2,1450110964003659786,2021-10-18T14:46:10.000Z,RT @ThingWorx: Don't miss PTC's @JimHeppelmann and @SteveDertien for the #ManufacturingLive opening keynote! Join us to hear how @PTC is le…,2021,10,18
13,3,1446129922318106641,2021-10-07T15:06:55.000Z,RT @iotbusinessnews: #IoTarticle: What CEOs talked about in Q3/2021 - #IoTAnalytics #IoT #IoTBusinessNews https://t.co/qoohx2CpWe,2021,10,7
14,0,1440691536044326923,2021-09-22T14:56:43.000Z,"RT @PTC: “No matter the nature of the disruption, digital has proven a powerful force to both survive and thrive amidst the chaos and chang…",2021,9,22
15,0,1440691536044326923,2021-09-22T14:56:43.000Z,"RT @PTC: “No matter the nature of the disruption, digital has proven a powerful force to both survive and thrive amidst the chaos and chang…",2021,9,22
16,0,1409557212406685700,2021-06-28T17:00:02.000Z,"At @PTC, we want our customers to embrace digital technologies and transform the physical aspects of their businesses. Read the recap of my @LiveWorx episode to understand the power of digital.",2021,6,28
17,1,1407390032881651713,2021-06-22T17:28:26.000Z,The growing adoption of #SaaS brings with it improved #cybersecurity and increased #IP protection. The latest @CIOonline &amp; @PTC whitepaper explains how this technology is essential to the success of modern industrial and engineering companies. https://t.co/YVkOQpjVrI,2021,6,22
18,2,1406975196486148098,2021-06-21T14:00:01.000Z,Episode Three of @LiveWorx is right around the corner! I'll be covering all things #DigitalTransformation and how our @PTC customers are successfully implementing these initiatives into their businesses. Register now so you can tune in.,2021,6,21
19,3,1405897756502368260,2021-06-18T14:38:40.000Z,"RT @PTC: #Juneteenth is now officially a federal holiday, giving the opportunity to pause, reflect, and re-energize in the long-term moveme…",2021,6,18
20,4,1405208297288835072,2021-06-16T16:59:00.000Z,"First, virtualize your #manufacturing process instructions. Then, virtualize the entire workspace. Mindblowing...and possible. I’ll be previewing new @PTC technology during Episode Three of @LiveWorx. I hope to see you there.  

#LiveWorx https://t.co/G6z2iajGRt",2021,6,16
21,5,1402294355210219522,2021-06-08T16:00:02.000Z,"Behind each factory bottleneck is another one waiting to be fixed. Join me to learn how digital can optimize physical and see more #DigitalTransformation examples LIVE on June 24 during @LiveWorx Episode Three. 

#LiveWorx https://t.co/ZZkQhz0xj3",2021,6,8
22,6,1401933208724377603,2021-06-07T16:04:58.000Z,"@kaliouby Welcome to the Board, Rana!",2021,6,7
23,7,1400136624432979973,2021-06-02T17:05:59.000Z,Tune into @LiveWorx Episode Three to get a sneak peek into how I envision @PTC will evolve in the next 5 years. https://t.co/vdw2fWj1wR,2021,6,2
24,8,1399810074852442114,2021-06-01T19:28:23.000Z,The SaaS market for CAD and PLM will become the new normal and experience ‘hyper-growth’ for the years to come. Thank you @ogewell for writing this comprehensive article on the current state of the market. https://t.co/eI2O3Cjsv1,2021,6,1
25,0,1397297546633089025,2021-05-25T21:04:30.000Z,".@PTC should be reflective of the communities in which we live and work; diverse in perspectives, experiences, and backgrounds. I spoke with @KameelahBFuller about her instrumental work on our DEI journey. https://t.co/QcNLEuqNgC",2021,5,25
26,1,1397190722705522688,2021-05-25T14:00:01.000Z,"AR enables companies to better tap into the digital revolution and all it has to offer. @Vuforia Live is the perfect opportunity for tech enthusiasts to get a sneak peek into what @PTC envisions the future of this #technology. I hope to see you there. 

#VuforiaLive",2021,5,25
27,2,1396829969838395397,2021-05-24T14:06:31.000Z,"RT @Vuforia: The countdown is on. #VuforiaLive kicks off on Thursday at 10am ET. Register now to be part of this epic event!
https://t.co/8…",2021,5,24
28,3,1395726075167182852,2021-05-21T13:00:02.000Z,"Digital technology is transforming the physical world in which we live, learn, and work. Join me at @LiveWorx Episode Three to be a part of the future of #technology (and the future of business).
#LiveWorx",2021,5,21
29,4,1394385087643463681,2021-05-17T20:11:25.000Z,"RT @jacobm: According to Jim Heppelmann, CEO of @PTC people not liking change is a problem of inertia. A body in motion wants to continue i…",2021,5,17
30,5,1392480450464174085,2021-05-12T14:03:05.000Z,RT @Vuforia: Upcoming event! Register for Vuforia Live for a sneak peek into what @PTC’s #AugmentedReality team is working on next. You don…,2021,5,12
31,6,1392107472903573508,2021-05-11T13:21:00.000Z,🤔💭 https://t.co/xOJIxzHxeR,2021,5,11
32,0,1387430148526514178,2021-04-28T15:34:59.000Z,"RT @lifeatPTC: How @PTC plans to reopen our #Boston headquarters by shifting to a hybrid model of work, via @BostonGlobe.
https://t.co/qfR0…",2021,4,28
33,1,1387061693436645379,2021-04-27T15:10:52.000Z,It’s bittersweet to say goodbye to @kmitford after working with her for the past 15 years. She has made a significant impact on @PTC and shaping it into the company it is today. I’m so proud of Kathleen and wish her well in this new chapter. https://t.co/pZQgWRBO2T,2021,4,27
34,2,1382730739867914245,2021-04-15T16:21:12.000Z,RT @donfperkins: .@JimHeppelmann &amp; @MichaelEPorter make a solid business case for using #AugmentedReality to speed up &amp; enhance decision ma…,2021,4,15
35,0,1372220311148630026,2021-03-17T16:16:31.000Z,"RT @Onshape: In case you missed #OnshapeLive last week, check out  @PTC #CEO @JimHeppelmann's keynote video, where he shares insights on th…",2021,3,17
36,0,1370121390347669511,2021-03-11T21:16:09.000Z,"RT @Onshape: @JimHeppelmann: When it comes to knowing how to build a great #CAD system, @jhirschtick &amp; @johnmceleney are the best in the bu…",2021,3,11
37,1,1370121295183159297,2021-03-11T21:15:47.000Z,"RT @Onshape: @JimHeppelmann: We all share the same goal – making #Onshape a household name and driving its ubiquity in the marketplace. 

#…",2021,3,11
38,2,1370121259846152192,2021-03-11T21:15:38.000Z,"RT @Onshape: @JimHeppelmann: “#Onshape is the #Uber of product development.”

#PoweringInnovation #OnshapeLive @PTC https://t.co/U172QytxnJ",2021,3,11
39,3,1370121244369154056,2021-03-11T21:15:34.000Z,RT @PTC_Academic: We love the shout-out for the 150 virtual @FIRSTweets teams who participated in Robots to the Rescue last spring in @JimH…,2021,3,11
40,4,1369741924454793216,2021-03-10T20:08:18.000Z,"RT @PTC: A deep dive into the benefits of #SaaS now (and in the future), and how PTC’s strategy has established us as the SaaS leader in #I…",2021,3,10
41,5,1369739841496174596,2021-03-10T20:00:01.000Z,"Digital saved the day during #COVID. Companies are now looking to adopt #SaaS technologies for #ProductDevelopment processes. At @PTC, we’re ready to meet that demand.",2021,3,10
42,6,1369332158213414913,2021-03-09T17:00:02.000Z,Businesses now understand the imperative of digital transformation–92% are actively pursuing #DX. @PTC's #StateOfDX2021 highlights #MarketTrends and offers insights on how we're seeing businesses achieve incredible results with digital.,2021,3,9
43,7,1369317056009678849,2021-03-09T16:00:01.000Z,"This Thursday, I’ll be joining @jhirschtick and the @Onshape team for #OnshapeLive! During my keynote, I’ll be sharing how much @PTC and Onshape have been able to accomplish together since the #acquisition. Hope to see you there.

#PoweringInnovation",2021,3,9
44,8,1367562778484105223,2021-03-04T19:49:09.000Z,"RT @jacobm: According to Jim Heppelmann, CEO of @PTC people not liking change is a problem of inertia. A body in motion wants to continue i…",2021,3,4
45,9,1364256983440896001,2021-02-23T16:53:06.000Z,"I was on @WCVB last night discussing the importance of having employees in the office and the face-to-face interactions we all once took for granted. Thankfully, I’m beginning to see the light at the end of the tunnel!  https://t.co/W0cUXwTTn8",2021,2,23
46,10,1363949632313786386,2021-02-22T20:31:47.000Z,"I miss our @PTC employees and as soon as it's safe, I look forward to seeing everyone again. I’ll be on @WCVB at 4:30 and 5:30 PM ET with @TedWayman, talking about returning to the office. Tune in here: https://t.co/WcbVya1aYB",2021,2,22
47,11,1362075404400533511,2021-02-17T16:24:17.000Z,"RT @bostonchamber: ""We’ve done a great job of pairing computers (digital) with machines, now we have to find new ways to pair digital with…",2021,2,17
48,12,1362075386360782852,2021-02-17T16:24:12.000Z,"RT @bostonchamber: One major tech trend is #augmentedreality.

AR is a powerful way to bring frontline workers into this amazing digital wo…",2021,2,17
49,13,1361747449904312322,2021-02-16T18:41:06.000Z,"RT @Onshape: Don't miss #Onshape's first-ever user conference, #OnshapeLive on March 11. See Onshape in action, meet innovators &amp; creators…",2021,2,16
50,0,1358868746639712260,2021-02-08T20:02:10.000Z,"RT @bostonchamber: Technology will continue to be imperative to Boston’s comeback.

That’s why we’re convening tech leaders from @rapid7, @…",2021,2,8
51,1,1358793680707063810,2021-02-08T15:03:53.000Z,"As a company dedicated to promoting inclusion and diversity, @PTC strives to be a strong advocate of the #LGBTQ+ community. I am excited to continue our forward progress in this area. https://t.co/7LM4YKjyf7",2021,2,8
52,2,1356311382904483851,2021-02-01T18:40:07.000Z,"RT @lifeatPTC: For the past four years, @PTC has been recognized as a #TopWorkplace in Boston, and we are proud to build on that legacy in…",2021,2,1
53,3,1355230217904779267,2021-01-29T19:03:57.000Z,"I believe that #CAD and #PLM as cloud-based, #SaaS solutions will be the new normal. @ogewell does an incredible job covering @PTC’s vision for the future, via @engineeringcom.  
https://t.co/WndE1K1NOO",2021,1,29
54,4,1353719276545388544,2021-01-25T15:00:01.000Z,"Make sure you tune into my virtual keynote (1/27 at 1 PM ET) at @ShopFloorNAM’s Leading Edge Supply Chain Forum to understand how #SupplyChains can leverage new #technology to become more collaborative, flexible, and agile.",2021,1,25
55,5,1352277273064464384,2021-01-21T15:30:00.000Z,"I’m happy to announce that @MarkB_Nuance will be joining @PTC’s Board of Directors. Mark’s experience in #cloud, #SaaS, and #IoT growth initiatives will strengthen our #leadership position in the market.",2021,1,21
56,6,1351952638540070916,2021-01-20T18:00:01.000Z,"At @PTC, we pledge to help our customers and partners get back to work. Together, we must do our part to address the great long-term challenges in front of us. #InaugurationDay is a new chapter for a brighter future. 

#Inauguration2021",2021,1,20
57,7,1351521955351031814,2021-01-19T13:28:38.000Z,I’m excited to share that we have completed the acquisition of @ArenaSolutions and can officially welcome the team to the @PTC family. Looking forward to what’s to come. https://t.co/9qvfDb1fQF,2021,1,19
58,0,1349143773314486273,2021-01-12T23:58:36.000Z,"RT @MassTLC: On behalf of the MassTLC Board of Trustees and team, we denounce in the strongest possible terms the attack on people, propert…",2021,1,12
59,1,1347015901435072517,2021-01-07T03:03:11.000Z,"PTC stands with our US customers!
https://t.co/s3dyCdmn5j",2021,1,7
60,0,1339316326259634180,2020-12-16T21:07:50.000Z,RT @PTC: Watch PTC CEO @JimHeppelmann explain how @VolvoGroup’s quality assurance operators complete complex tasks with #AugmentedReality.…,2020,12,16
61,1,1339223761875156994,2020-12-16T15:00:01.000Z,".@adariostrange said it best: “It’s not just about the survivors of 2020, it’s about the thrivers.” 
Thank you @NextReality for including me in the #NR30 list.  
https://t.co/5bIPOQuwj4",2020,12,16
62,2,1338896894068740098,2020-12-15T17:21:09.000Z,"RT @PTC: New year? Yes, please! Our 2020 #HolidayCard doesn't need an envelope or stamp–#AugmentedReality brings a #winter wonderland to li…",2020,12,15
63,3,1338477956625297412,2020-12-14T13:36:27.000Z,"We are pleased to announce our definitive agreement to acquire @ArenaSolutions, the industry’s leading SaaS PLM platform provider. Learn more about how @PTC will deliver a complete #CAD + #PLM SaaS solution.",2020,12,14
64,0,1333794776940830724,2020-12-01T15:27:10.000Z,The @McKinsey Women in the Workplace report reveals that the #pandemic could set the #FemaleWorkforce back by as much as 50 years. There's no better time for this type of event that promotes #GenderEquality and #WomenInLeadership. https://t.co/noG30rqZIQ,2020,12,1
65,1,1333410456883527680,2020-11-30T14:00:01.000Z,"Our economy is adjusting to even more uncertainty. What can policymakers and businesses do to protect #production, #SupplyChains, workers, and consumers? I’ll be covering this and all things #IndustrialInnovation with @ftlive.",2020,11,30
66,2,1330963461501808644,2020-11-23T19:56:31.000Z,"Congrats to the @PTC team! We’re once again a Top Place to Work. It’s never been more important to have employees’ voices heard, their perspectives welcomed, and their impact valued. https://t.co/N31EaDbF23",2020,11,23
67,3,1329826826479349770,2020-11-20T16:39:57.000Z,"Although our priority at @PTC continues to be the health, safety, and wellbeing of our employees and their families, I’m looking forward to the day when we can make the choice in where we work. 
Thank you for the mention, @BostonGlobe.  
https://t.co/TiUQI19M8h",2020,11,20
68,4,1329484588633219075,2020-11-19T18:00:01.000Z,"#SpatialComputing is on the list of @sciam's Top Emerging Technologies for 2020. At @PTC we wholeheartedly agree and are actively working on developing this transformative #technology. 
https://t.co/g2yNC3b7iJ",2020,11,19
