,index,id,created_at,text,year,month,day
0,0,1640509469938311173,2023-03-28T00:21:51.000Z,"There are almost eight billion people in the world but there is only one YOU! There is one thing you are an expert in, you just have to find it. Once you connect with your inner drive, your motivation to win, your DREAM – that’s when the magic happens!! #MondayMotivation https://t.co/IBi0lrh4BV",2023,3,28
1,0,1640509469938311173,2023-03-28T00:21:51.000Z,"There are almost eight billion people in the world but there is only one YOU! There is one thing you are an expert in, you just have to find it. Once you connect with your inner drive, your motivation to win, your DREAM – that’s when the magic happens!! #MondayMotivation https://t.co/IBi0lrh4BV",2023,3,28
2,0,1567683942081241088,2022-09-08T01:19:12.000Z,The market potential in India is unparalleled! It was an honor to talk with Minister @PiyushGoyal about the bright future of Digital India. Excited to make the world work better.. https://t.co/fWjCaOvDMF,2022,9,8
3,0,1559230708081647616,2022-08-15T17:29:04.000Z,"It all starts with the passion to be somebody and do something in this world. In everything you do, always strive to be better than the previous best version of yourself. Success is a race without a finish line. #MondayMotivation https://t.co/DhyoIRSAFW",2022,8,15
4,0,1556651959964295169,2022-08-08T14:42:03.000Z,Thank you for hosting me @jonfortt. I always look forward to our conversations about all the great things happening at @ServiceNow and enjoyed getting to share a little bit about my own journey with you. https://t.co/EKiZADmdsM,2022,8,8
5,1,1555615415035985921,2022-08-05T18:03:11.000Z,"WOW! Today we marked an incredible milestone for our @ServiceNow team – it’s been more than 10 years since we celebrated our IPO on the @NYSE. Throughout all these years, we’ve never lost sight of Fred Luddy’s founding vision – technology in service of people. https://t.co/GXMrXMfwSv",2022,8,5
6,2,1555574659688677376,2022-08-05T15:21:14.000Z,RT @NYSE: The NYSE welcomes @ServiceNow in celebration of its 10th anniversary of listing $NOW https://t.co/in8EBUrhrb,2022,8,5
7,0,1547377176915460100,2022-07-14T00:27:22.000Z,@FussellChris Thank you for hosting me @FussellChris. It was wonderful to discuss such important topics affecting our world today. There’s no limit on what we can achieve when we all lead with courage and empathy!,2022,7,14
8,1,1546528157465034762,2022-07-11T16:13:40.000Z,"As we welcome our newest cohort of @ServiceNow summer interns into the workforce today, my advice to them is this: Be Brave. Be Brutally Optimistic. Be a Dream Chaser. Chase your Dreams one ambitious day at a time! #MondayMotivation https://t.co/UIsYM0Qn9h",2022,7,11
9,0,1547377176915460100,2022-07-14T00:27:22.000Z,@FussellChris Thank you for hosting me @FussellChris. It was wonderful to discuss such important topics affecting our world today. There’s no limit on what we can achieve when we all lead with courage and empathy!,2022,7,14
10,1,1546528157465034762,2022-07-11T16:13:40.000Z,"As we welcome our newest cohort of @ServiceNow summer interns into the workforce today, my advice to them is this: Be Brave. Be Brutally Optimistic. Be a Dream Chaser. Chase your Dreams one ambitious day at a time! #MondayMotivation https://t.co/UIsYM0Qn9h",2022,7,11
11,0,1525204753973657608,2022-05-13T20:02:04.000Z,@IanKingSky @SkyNews You are a gracious host @IanKingSky! It was an honor to join you on the show this morning. Heartfelt thanks to you and the @SkyNews team for creating this exciting opportunity to share ServiceNow’s story.,2022,5,13
12,1,1524443256423075841,2022-05-11T17:36:09.000Z,"The Hague was rockin’ today at Knowledge 2022!! Deeply appreciate our customers, partners, journalists, analysts who came out. It’s been such a pleasure connecting with our @ServiceNow community in Europe. Hope to see you later this month in Vegas! #Know22 https://t.co/nCbM3XmdHI",2022,5,11
13,2,1521144788111839233,2022-05-02T15:09:13.000Z,Recognizing your strengths is the first step to greatness. Success comes from within! #MondayMotivation https://t.co/ZzzmhvHda5,2022,5,2
14,0,1517530600978145281,2022-04-22T15:47:44.000Z,The future looks bright at @ServiceNow! Our Global Impact report demonstrates how we are pushing forward our purpose to make the world work better for everyone. Thanks to our TEAM for continuing this work to solve the world’s greatest challenges with ESG ambitions front &amp; center. https://t.co/qsZqufbtpc,2022,4,22
15,1,1516038357146558464,2022-04-18T12:58:05.000Z,Reading each morning shapes my perspective as I react to how the world is moving. You’d be surprised at what visionary ideas are sparked by tapping into the wealth of knowledge that already exists. There are so many Dreams that still need to be chased! #MondayMotivation https://t.co/idjFj70SoW,2022,4,18
16,2,1514597552921927684,2022-04-14T13:32:51.000Z,"@ServiceNow’s commitment to Diversity, Equity, and Inclusion has never wavered.
Today we released our 2022 DEI report, marking five years of its publication with many milestones made along the way.

https://t.co/g7c6Hj6XFF",2022,4,14
17,0,1508456999108984845,2022-03-28T14:52:29.000Z,Setbacks don’t define your character.. They reveal it. Using your pain as a superpower will make you unstoppable. #MondayMotivation https://t.co/F0DbsdRja4,2022,3,28
18,0,1508456999108984845,2022-03-28T14:52:29.000Z,Setbacks don’t define your character.. They reveal it. Using your pain as a superpower will make you unstoppable. #MondayMotivation https://t.co/F0DbsdRja4,2022,3,28
19,0,1486813364466507778,2022-01-27T21:28:24.000Z,@Craw @ServiceNow @Craw Thank you Crawford. The technology strategy is the business strategy!!,2022,1,27
20,1,1486812949725401091,2022-01-27T21:26:45.000Z,@SquawkStreet @CNBC Always an honor to join @SquawkStreet! Thank you for a spectacular interview.,2022,1,27
21,2,1485701497320992768,2022-01-24T19:50:14.000Z,"Winning is a process, not a destination. Helping your customer achieve their own goals through empathy is the best way to WIN. Commitment in service to their ambitions will unleash the loyalty effect. #MondayMotivation https://t.co/4plPM8O5Jb",2022,1,24
22,0,1472953500023853058,2021-12-20T15:34:15.000Z,"“How can I help you?” This one line changed my outlook on all things business. In this season of giving, may we all find the time to ask how we can help. Every small gesture of kindness makes a difference.  #MondayMotivation https://t.co/WWFLJjxoSz",2021,12,20
23,1,1470542685408841731,2021-12-13T23:54:32.000Z,"Fired up after an exciting morning with @jonfortt and @Carmine_DiSibio on @CNBCTechCheck!! Together with @EYnews, we will digitally innovate the world of tax and finance on the @servicenow platform. Proud to expand our fantastic partnership! https://t.co/sSnjy0AIiG",2021,12,13
24,0,1465375976146223121,2021-11-29T17:43:52.000Z,"As you work to become the best version of yourself, ask questions, listen to the pros, &amp; be brave enough to learn through failure. It’s all about embracing intellectual curiosity. Learning is the oxygen of life! #MondayMotivation https://t.co/mVDpXPSws8",2021,11,29
25,1,1460264869572272133,2021-11-15T15:14:09.000Z,"We can all make an incredible difference for others when we are generous with our time, mentorship and praise. When we each give discretionary effort, we all win. Creating a collective passion for generosity ensures no one is left behind. #MondayMotivation https://t.co/FaHJaqoPOR",2021,11,15
26,0,1452640751565873157,2021-10-25T14:18:38.000Z,"As a leader, inspiring people to live up to their greatest potential is the ultimate reward. Communication is the key to showing people the massive opportunities ahead. When you communicate clearly and often, they'll be inspired to do incredible work! #MondayMotivation https://t.co/DoEjLfo7LQ",2021,10,25
27,1,1450918727415996417,2021-10-20T20:15:56.000Z,What an incredible morning! I had the honor of joining @jeffiel on the main stage at @Twilio SIGNAL conference. I’m fired up about the launch of our Messaging Service solution. Together we're unlocking the experiences customer deserve on the @ServiceNow Platform! #signalconf https://t.co/kOL3pzvrXq,2021,10,20
