,index,id,created_at,text,year,month,day
0,0,1587510387037151235,2022-11-01T18:22:25.000Z,Could not be more pleased to share this news. A big thank you to the community that has never stopped supporting us and to the countless people who raised the bar year after year to make the @TravelersChamp one of the best stops on the @PGATOUR. https://t.co/g7zPgQmrSn,2022,11,1
1,0,1558106826306199552,2022-08-12T15:03:10.000Z,I had a great time talking with this year’s interns – a really terrific group that I hope to see back next year! https://t.co/GHMXXqUEKV,2022,8,12
2,1,1557721643438714880,2022-08-11T13:32:35.000Z,RT @Travelers: We’re proud to be the @GirlsWhoCode Partner of the Day as we work together to close the gender gap in technology. Over the l…,2022,8,11
3,0,1552380014469042184,2022-07-27T19:46:51.000Z,"We’re in the business of taking care of the communities we’re privileged to serve, and in that spirit, we’re proud to help New Yorkers in need through the Homeless Assistance Fund: https://t.co/WqWBdUQULi https://t.co/pysqEtQJ8S",2022,7,27
4,0,1552380014469042184,2022-07-27T19:46:51.000Z,"We’re in the business of taking care of the communities we’re privileged to serve, and in that spirit, we’re proud to help New Yorkers in need through the Homeless Assistance Fund: https://t.co/WqWBdUQULi https://t.co/pysqEtQJ8S",2022,7,27
5,0,1541201922841055232,2022-06-26T23:29:07.000Z,"Congrats to the 2022 @TravelersChamp winner, @XSchauffele! The tournament showcased great golf and, importantly, generated more than $2.5 million for more than 130 charities. Many thanks to the team who put on a world-class event. https://t.co/2Nm6BB2RYj",2022,6,26
6,1,1539957650586222594,2022-06-23T13:04:49.000Z,"Competition rounds for the @TravelersChamp started this morning. You can watch the action on @GolfChannel and @CBS, where you’ll catch new @Travelers ads that speak to our purpose: taking care of the people we’re privileged to serve. See them here: https://t.co/WxQhCozi8y",2022,6,23
7,2,1532349861584068608,2022-06-02T13:14:11.000Z,@SBPUSA @Travelers Thanks for your support – we wouldn’t be able to have the impact we do without partners like you.,2022,6,2
8,3,1532349646080729088,2022-06-02T13:13:19.000Z,A big thanks to the teams from @Travelers and @SBPUSA that joined me in Louisiana to help 2 families in Houma rebuild their homes to FORTIFIED standards. That was just the start – we’ll be providing the labor to restore 8 other homes and funding FORTIFIED roofs for 30 families. https://t.co/4xFFNY3Z9A,2022,6,2
9,0,1532349861584068608,2022-06-02T13:14:11.000Z,@SBPUSA @Travelers Thanks for your support – we wouldn’t be able to have the impact we do without partners like you.,2022,6,2
10,1,1532349646080729088,2022-06-02T13:13:19.000Z,A big thanks to the teams from @Travelers and @SBPUSA that joined me in Louisiana to help 2 families in Houma rebuild their homes to FORTIFIED standards. That was just the start – we’ll be providing the labor to restore 8 other homes and funding FORTIFIED roofs for 30 families. https://t.co/4xFFNY3Z9A,2022,6,2
11,0,1463923480714530816,2021-11-25T17:32:10.000Z,Always grateful for my Travelers family. Wishing everyone a happy and healthy Thanksgiving. https://t.co/DJbBpFXQhq,2021,11,25
12,1,1463525279436091393,2021-11-24T15:09:52.000Z,A big thanks to our friends from @nycballet for helping us put on this special show for school children in the Hartford community. https://t.co/MleLui1l9v,2021,11,24
13,0,1430889336069783555,2021-08-26T13:46:17.000Z,"It was an honor to join @POTUS, members of his Cabinet and leaders across several industries yesterday to discuss potential ways we can improve the nation’s cybersecurity. @Travelers is committed to addressing this growing threat. You can read more here: https://t.co/wJ2bcldOXc https://t.co/TQ9cIhLBHz",2021,8,26
14,1,1428036030771388420,2021-08-18T16:48:16.000Z,"Just 6 months after the fire at @HoleWallCamp, we came together to celebrate the groundbreaking of a new creative complex. Camp means so much to so many, &amp; thanks to the support of the community, incl. my @Travelers colleagues, it will continue to bring hope to future campers. https://t.co/w4GndmpzMx",2021,8,18
15,0,1413837417082245122,2021-07-10T12:28:02.000Z,RT @TRV_Careers: We are happy to share we have been honored with the Employer Award from Autism Services and Resources Connecticut for our…,2021,7,10
16,1,1413582872695410689,2021-07-09T19:36:34.000Z,RT @Travelers: We are excited to join @AmericanForests in supporting the @TreeTrust Branches job training program in the Twin Cities. 🌳 🌳 T…,2021,7,9
17,0,1409500006617337858,2021-06-28T13:12:43.000Z,"It’s hard to overstate the difference that makes to communities across our state. A huge thank you to everyone – fans, volunteers, sponsors, players and partners – who made this tournament a success. We can’t wait to see you again next year.",2021,6,28
18,1,1409499867781738500,2021-06-28T13:12:10.000Z,"Just like every year, 100 percent of the net proceeds of the 2021 #TravelersChamp will be donated to local nonprofits. This year, the Championship generated more than $2 million for 112 worthy charities.",2021,6,28
19,2,1409499552974094337,2021-06-28T13:10:55.000Z,"Wow. The 2021 #TravelersChamp ended with quite the finish – a tournament-record playoff that went on for EIGHT holes. Congratulations to @Harris_English, who outlasted an inspired effort by @KramerHickok to claim the trophy. https://t.co/q8dGc5ek5f",2021,6,28
20,0,1409500006617337858,2021-06-28T13:12:43.000Z,"It’s hard to overstate the difference that makes to communities across our state. A huge thank you to everyone – fans, volunteers, sponsors, players and partners – who made this tournament a success. We can’t wait to see you again next year.",2021,6,28
