,index,id,created_at,text,year,month,day
0,0,1409998921615687683,2021-06-29T22:15:14.000Z,RT @NatGeo: An Eastern Screech owl peeks out a tree trunk with one of its three owlets in this image taken by Your Shot photographer Lesley…,2021,6,29
1,0,1395828264690757646,2021-05-21T19:46:06.000Z,Go Ramblers! https://t.co/xkbk9ASAJ1,2021,5,21
2,1,1392293646901317639,2021-05-12T01:40:47.000Z,Go Ramblers! https://t.co/bm7Vs3fPpj,2021,5,12
3,2,1391116843155329025,2021-05-08T19:44:35.000Z,"RT @LAMensVBall: Deerfield Quad Results:
Loyola d Prospect 25-20, 25-14
Loyola d Lake Zurich 25-11, 25-17
Loyola d Deerfield 22-25, 25-17,…",2021,5,8
4,0,1351256248298176523,2021-01-18T19:52:49.000Z,Glad to be partnering with BBBS on this! https://t.co/zHXWAxCbX9,2021,1,18
5,1,1351256120619372545,2021-01-18T19:52:18.000Z,"RT @BBBSChi: Please join us on Thursday, January 28 as we continue our Representation Happy Hour series. RSVP today to meet and network wit…",2021,1,18
6,2,1349933524929933312,2021-01-15T04:16:47.000Z,RT @Pacers: are we having fun yet? 😛 https://t.co/sxHl8c0bLR,2021,1,15
7,0,1307369423376994304,2020-09-19T17:22:14.000Z,RT @SRuhle: This is gonna be a tough hurdle to jump,2020,9,19
8,1,1303902752821649408,2020-09-10T03:46:56.000Z,@chassan Fantastic! Congrats Carla!,2020,9,10
9,0,1295178630725861378,2020-08-17T02:00:23.000Z,"RT @Pacers: .@TonyWarrenJr joined Damian Lillard, Devin Booker, Luka Dončić, and James Harden on the All-Seeding Games First Team 👏

https:…",2020,8,17
10,0,1292924433473114116,2020-08-10T20:43:00.000Z,RT @Trendmood: #BeautyNews 🚨📰🖤 O-M-G !!! ARE YOU READY FOR THIS??!! ☕️🙀 L👀K who is coming to @ultabeauty @kvdveganbeauty 🙌🏼💸 #UBxKVDVB Onli…,2020,8,10
11,0,1253763236807217152,2020-04-24T19:10:24.000Z,RT @BBBSChi: Just like the #NFLDraft we've gone virtual with The Big Draft. We're drafting the next generation to our team and matching Big…,2020,4,24
12,1,1249359460205805568,2020-04-12T15:31:21.000Z,"Happy Easter! @ Evanston, Illinois https://t.co/tNlB9XUXk4",2020,4,12
13,0,1243260890788564994,2020-03-26T19:37:49.000Z,"RT @NYGovCuomo: The @EsteeLauder Companies is donating 10,000 bottles of hand sanitizer to NYS every week in the weeks to come.

We’re deep…",2020,3,26
14,1,1243258475905536002,2020-03-26T19:28:13.000Z,RT @ultabeauty: Gonna be so fresh sitting on our couches 🙌🛋️ What's your mood-boosting beauty must-have? #ultabeauty https://t.co/wBLzXcgNGK,2020,3,26
15,0,1234962252240801795,2020-03-03T22:02:00.000Z,Looks like a strong new leader for a great school! Go Tigers! https://t.co/X3obp2PdEw,2020,3,3
16,1,1234961620444446721,2020-03-03T21:59:29.000Z,@DePauwU Excited for her leadership!,2020,3,3
17,0,1243260890788564994,2020-03-26T19:37:49.000Z,"RT @NYGovCuomo: The @EsteeLauder Companies is donating 10,000 bottles of hand sanitizer to NYS every week in the weeks to come.

We’re deep…",2020,3,26
18,1,1243258475905536002,2020-03-26T19:28:13.000Z,RT @ultabeauty: Gonna be so fresh sitting on our couches 🙌🛋️ What's your mood-boosting beauty must-have? #ultabeauty https://t.co/wBLzXcgNGK,2020,3,26
19,2,1234962252240801795,2020-03-03T22:02:00.000Z,Looks like a strong new leader for a great school! Go Tigers! https://t.co/X3obp2PdEw,2020,3,3
