,index,id,created_at,text,year,month,day
0,0,1640108801662627842,2023-03-26T21:49:44.000Z,"RT @UnionPacific: With the AskRail app from the @AAR_FreightRail, first responders have critical information about what a railcar is carryi…",2023,3,26
1,1,1640107756618129413,2023-03-26T21:45:35.000Z,"Union Pacific Railroad Reaches Paid Sick Leave Agreements with Eight Labor Unions https://t.co/nWUHFvVM17 via @UnionPacific 

Making good progress!",2023,3,26
2,2,1637166948931760129,2023-03-18T18:59:52.000Z,Love it Shelly! https://t.co/XRPwFjR4Wq,2023,3,18
3,3,1637166827573858304,2023-03-18T18:59:23.000Z,"Amen - Spring cannot come soon enough!  Team UP has been heroic in Wyoming and California, as well as all around the system battling winter weather. https://t.co/4QNImxvXov",2023,3,18
4,4,1633464224461770753,2023-03-08T13:46:34.000Z,"This is a terrific report on what we do to build the best team in the industry.  Take  a look at what it takes to #Buildamerica!

Union Pacific Showcases DE https://t.co/WQ848pCA0c via @UnionPacific",2023,3,8
5,0,1629610737923497985,2023-02-25T22:34:11.000Z,Hightowers Petroleum has been a terrific partner in growing our diverse supplier spend - up 50% in 2022 alone!  Thanks for your help #Buildingamerica! https://t.co/39MvwtaopK,2023,2,25
6,1,1629610212989575168,2023-02-25T22:32:06.000Z,"Hazmat safety is a critical component of how we operate our railroad.  It takes a solid plan and reliable execution - something team UP has been doing for decades!

UP: Safe Rail Transport of Chemicals Requires the Utmost Preparedness https://t.co/5G2Ej4cmV1 via @UnionPacific",2023,2,25
7,2,1627059505052946436,2023-02-18T21:36:29.000Z,We are very proud to #buildamerica sustainably! https://t.co/C8viEvhih9,2023,2,18
8,3,1627059112189243394,2023-02-18T21:34:56.000Z,"We are very proud of Melissa and her work as a Total Safety Culture facilitator.  Thank you Melissa - keep up the great work!

UP: Creativity and Active Listening Help Kenefick Winner White Set Service Unit Safety Record https://t.co/WFiUnmk4UZ via @UnionPacific",2023,2,18
9,4,1624817069584785410,2023-02-12T17:05:51.000Z,"RT @UnionPacific: Meanwhile in Arkansas, Oklahoma and Texas, our crews have been hard at work recovering from an ice storm. Thanks to every…",2023,2,12
10,0,1621982442797113345,2023-02-04T21:22:03.000Z,Fortune Names Union Pacific One of the World’s Most Admired Companies https://t.co/4HVEWsgnB3 via @UnionPacific,2023,2,4
11,1,1621981767841243137,2023-02-04T21:19:23.000Z,"I love it Antonio!  Thank you for keeping the freight moving to and through your community!

UP: Military Prepared Marquez for Life on the Rails https://t.co/PJNzBXPK7n via @UnionPacific",2023,2,4
12,2,1620073712514142208,2023-01-30T14:57:27.000Z,"This equipment is incredible!  We don't like having to deploy it, but when we do it is a game-changer. https://t.co/0QiVQTsRVa",2023,1,30
13,3,1615035616038899713,2023-01-16T17:17:51.000Z,"The UP team has been busy building additional capacity east of the DFW metroplex to help serve our customers.  #buildingamerica

UP: Texas Siding Projects Expedite Track Speed https://t.co/pHv6KCA93G via @UnionPacific",2023,1,16
14,4,1615034350197784576,2023-01-16T17:12:49.000Z,"Well-earned recognition of our very own Kenny Rocker! Go Dawgs!

UP: Rocker’s 'Hustle' Shapes His Professional, Personal Development https://t.co/lZk6NDYF6p via @UnionPacific",2023,1,16
15,0,1611776241576677377,2023-01-07T17:26:16.000Z,Rebecca Gregory Tracks Her Journey https://t.co/rjQ4IXHMco via @moderncounsel,2023,1,7
