,index,id,created_at,text,year,month,day
0,0,1574800471071522816,2022-09-27T16:37:45.000Z,RT @UPSers: We wish you a sweet and happy new year. Shana Tova! #RoshHashanah https://t.co/VQdkva1Hca,2022,9,27
1,1,1572650110521155585,2022-09-21T18:12:59.000Z,"On the road or on the court, @UPSers are second to none. @ATLHawks Principal Owner Tony Ressler, Kevin Warren and I got to recognize 14 of our local @UPS drivers by surprising them with customized Hawks jerseys! Thank you to this group for all you do to #DeliverWhatMatters.🏀📦 https://t.co/lrppayCE2U",2022,9,21
2,2,1567588528409743360,2022-09-07T19:00:04.000Z,".@UPS is a purpose-driven company backed by 500K+ @UPSers who #deliverwhatmatters every day. Tune in to @JaniceEllig’s latest Leadership Reimagined podcast to hear us discuss the intersection of purpose, people-led culture and business growth: https://t.co/0Gtddr3821 https://t.co/l3DXOX9yQ8",2022,9,7
3,0,1564422293127925767,2022-08-30T01:18:34.000Z,"As I think about our future, it’s clear we’re standing on the shoulders of a giant. Thank you to the 500K+ @UPSers around the world who are building upon Jim Casey’s incredible legacy.

We have so much to celebrate - and this is just the beginning. Happy Founders’ Day! https://t.co/E1ZcVd9Ai9",2022,8,30
4,1,1564420571336790016,2022-08-30T01:11:44.000Z,"We’re celebrating our 115th Founders’ Day! Our Birmingham, AL, @UPSers threw an awesome @UPS birthday party, and it was a blast to join them 🥳 Shout out to this amazing team for a great day and for all you do to #DeliverWhatMatters 🤎 https://t.co/gf5u1x9HMw",2022,8,30
5,0,1554867737410867201,2022-08-03T16:32:11.000Z,RT @LauraLaneUPS: .@UPS released our 2021 Corporate Sustainability Report which includes our #ESG action plan. We’re committed to being car…,2022,8,3
6,0,1548045222294142977,2022-07-15T20:41:56.000Z,Congratulations to these @UPSAirlines teams on your outstanding 2022 accomplishments! It was such a pleasure to celebrate with you. Thank you for all you do to #DeliverWhatMatters for our customers and communities around the world. https://t.co/z3aqv2ljCz,2022,7,15
7,1,1547046954206728192,2022-07-13T02:35:11.000Z,"As an innovation-driven company, @UPS knows how important #technology is in moving our world forward. I’m proud to join @Codeorg’s call for greater access to computer science education to prepare students for success not just in tech, but in almost any career. https://t.co/XhmAy9ehpa",2022,7,13
8,0,1542967291318599682,2022-07-01T20:24:03.000Z,".@UPS had the honor of hosting the iconic @AmbAndrewYoung at our SMART Hub in Atlanta this week. His career of servant leadership embodies “moving our world forward by delivering what matters.” Thank you, Ambassador, for sharing your time, experiences &amp; wise words with us! https://t.co/WTBLNl0fay",2022,7,1
9,1,1542625405148008448,2022-06-30T21:45:31.000Z,"Thanks for having me on the show, @Timothy_F_Ryan! Really enjoyed this conversation. https://t.co/H4ZolGSinz",2022,6,30
10,2,1540008292965122048,2022-06-23T16:26:03.000Z,"At @UPS, our #purpose is “moving our world forward by delivering what matters.” This is our why, &amp; our people bring it to life 🤎 Hear more about the power of purpose and what it means for evolving talent strategies in this podcast with @PwCUS Chair &amp; Senior Partner Tim Ryan:",2022,6,23
11,3,1536729895031783425,2022-06-14T15:18:52.000Z,"Delighted to announce that Bala Subramanian will join @UPS as EVP and Chief Digital and Technology Officer, effective July 18.

Whether you’re a #proudUPSer, customer, supplier, investor or community partner, please join me in welcoming Bala!",2022,6,14
12,4,1536405654147063810,2022-06-13T17:50:27.000Z,"RT @UPS: On June 20, @UPS_Foundation is hosting its inaugural UPS Impact Summit! The event brings together leading voices in #ESG from arou…",2022,6,13
13,5,1536381845486583812,2022-06-13T16:15:51.000Z,"Through a partnership with @Accion, @UPS and The @UPS_Foundation are providing $100K in grants to support under-funded #SMBs and entrepreneurs as part of our #UPSIgnite program. We’re thrilled to announce our 2022 grant recipients here: https://t.co/qWmtHORyhb https://t.co/F0nWB6dXGP",2022,6,13
14,0,1535381425599438855,2022-06-10T22:00:32.000Z,"@CHSP_northwest @NorthwestUPSers @SConnor13 @SeanGriffin34 @e_vazquez91 @ExperienceUPS Congrats Dave, Jerry and Jim! Thank you for your unwavering commitment to safety! 📦",2022,6,10
15,1,1533968623387267072,2022-06-07T00:26:34.000Z,"Love this! Brown is my favorite color, too, Drew 🤎

Watch 8-year-old Drew and 22-year #UPSer Ian deliver joy below 📦 #YouBelongAtUPS
￼
https://t.co/arEHsAHS38",2022,6,7
16,2,1531986355189948418,2022-06-01T13:09:44.000Z,"#PrideMonth2022 is here, and @UPS is celebrating through our actions to build more diverse, equitable &amp; inclusive workplaces and communities.🌈Click the link to see how we’re showing up for LGBTQ+ communities and advancing equity and inclusion for all: https://t.co/FJLg6lSbBw",2022,6,1
17,3,1529802099936182273,2022-05-26T12:30:17.000Z,".@UPS and @InterGlobe_IGE are delivering what matters for the rapidly growing Indian market with our new logistics brand MOVIN. Launched today, #MOVIN is part of our Customer First strategy and brings domestic express and premium logistics services to businesses across India. https://t.co/UwH9KUu2V7",2022,5,26
18,4,1529217744738320384,2022-05-24T21:48:16.000Z,"@LouRivieccio 55 years - wow! Congratulations and thank you, Cleve!",2022,5,24
19,0,1523779481336713216,2022-05-09T21:38:33.000Z,"A big thank you to @BerryCollege's Spring 2022 grads for the honor of speaking at your ceremony! 🎓 Thank you also to the graduates' friends and family, and to Berry's leadership. What a beautiful weekend to celebrate. https://t.co/7QysVkLeAj",2022,5,9
20,1,1521256870522101763,2022-05-02T22:34:36.000Z,"Being people-led means celebrating all @UPSers. 🎉And especially during Asian American &amp; Pacific Islander Heritage Month, we’re so proud to celebrate our #AAPI employees and all they bring to our company. Click to learn more about #AAPIHM at @UPS: https://t.co/TAIFUqqgMj",2022,5,2
21,2,1519050635085332480,2022-04-26T20:27:48.000Z,".@UPS announced strong Q122 results thanks to the resiliency of our @UPSers and their commitment to #DeliverWhatMatters. We have a winning strategy &amp; winning teams in place who are serving the needs of our customers, each other &amp; our global communities. https://t.co/jJV7MgmgTP https://t.co/cPhyYNjtml",2022,4,26
22,0,1517571180844228610,2022-04-22T18:28:59.000Z,"Thank you Tiffany Kent and @HBSAtlanta for the opportunity to join you at last week’s Leadership Breakfast! So enjoyed discussing #leadership styles and people development with all of you.
 
What do you think are the most important qualities in a leader? https://t.co/zfbmSvZGvQ",2022,4,22
23,1,1517545609921765379,2022-04-22T16:47:22.000Z,@1CrowdPleaser Committed UPSers like you are how we #DeliverWhatMatters every day for our customers and communities. We are lucky to have you on our team. Thank you again!!,2022,4,22
24,2,1516848215404036112,2022-04-20T18:36:10.000Z,"@ChrisLutick @UPS @UPSPolicy @UPSers So enjoyed the conversation today, Chris. Congratulations and thank you for 30 years of service! Our future is bright, indeed. 🎉",2022,4,20
25,3,1515747227595157517,2022-04-17T17:41:14.000Z,"RT @UPSers: We’re hopping by to wish you &amp; your family a day of peace, hope &amp; chocolate.  #HappyEaster https://t.co/eO8iPcYYFe",2022,4,17
26,4,1515052006464966657,2022-04-15T19:38:41.000Z,".@UPS recently inducted 1,495 @UPSers into our Circle of Honor for 25+ years of safe driving. Congratulations to this elite group of drivers on this incredible milestone, and thank you for moving our world forward by delivering what matters – safely.",2022,4,15
27,5,1514014889769066505,2022-04-12T22:57:33.000Z,"@SoCalLeaders @UPSers @Elizabe24424440 @scott_bremerman @hill_deryl @jrindafernshaw @MiltonYahoo @Jonatha85469473 Love it! Thank you and congratulations, Quince!",2022,4,12
28,6,1511819999769464844,2022-04-06T21:35:50.000Z,"As @Expo2020Dubai comes to a close, I want to thank our @UPSers for providing world-class logistics expertise and sustainable solutions throughout this mega-event. Congratulations on expertly showcasing how we #DeliverWhatMatters for customers and communities around the world.",2022,4,6
29,7,1509132746563760129,2022-03-30T11:37:39.000Z,"For the second year in a row, @UPS has been named one of @TIME’s 100 Most Influential Companies. Congrats &amp; thank you to every #UPSer across our network on this accomplishment. You are moving our world forward by delivering what matters. #TIME100Companies https://t.co/X1nBVKoGCP https://t.co/JGVpqbsJY7",2022,3,30
30,8,1508992408352043008,2022-03-30T02:20:00.000Z,“Our horizon is as distant as our mind’s eye wishes it to be.” 🌅 https://t.co/ZuVZeqE7N8,2022,3,30
31,0,1507156304728522756,2022-03-25T00:43:59.000Z,"RT @UPS_EUPolicy: .@UPS CEO @CarolBTome indicated that the #transatlantic relationship has never been more important. ""The #US_EU should bu…",2022,3,25
32,1,1506322418264154115,2022-03-22T17:30:25.000Z,"This month, I spoke with graduates from the 
@LeadershipAtl 2022 class during a roundtable discussion. I was so thrilled to meet with this group of talented leaders and can’t wait to see what the future has in store for them. Congratulations on this incredible achievement! https://t.co/MYf8cU1M1g",2022,3,22
33,2,1501313769045168128,2022-03-08T21:47:50.000Z,"This #InternationalWomensDay, it’s important that we work toward creating more inclusive workplaces where women can thrive. I recently joined Group President of @Pfizer Biopharmaceuticals Group Angela Hwang for a podcast on how I’m working to #breakthebias.https://t.co/Z9w91lrtgM",2022,3,8
34,3,1499873520590938122,2022-03-04T22:24:48.000Z,"At @UPS, we’re celebrating #WomensHistoryMonth by creating environments where women can thrive. As a purpose-driven company, it’s important now more than ever that we continue driving a more gender inclusive and equitable world. Read more about Women’s History Month at UPS here:",2022,3,4
35,0,1495757144326606848,2022-02-21T13:47:47.000Z,"Last week, several @UPSers joined @OperationRamp in Baton Rouge to build a ramp for 103-year-old WWll veteran Leon Dixon, making it easier for him to get in and out of his home. I’m so proud of this team for delivering what matters for Leon. Thank you, Leon, for your service! https://t.co/xJ48nnN02K",2022,2,21
36,1,1493723187795927040,2022-02-15T23:05:34.000Z,“Feedback is a gift if you’re willing to listen to it.” I shared this sentiment with Andy Stanley in his latest Leadership Podcast episode where we discussed the importance of developing current leaders and the trailblazers of tomorrow. Tune in here: https://t.co/D8q7FjnaoQ https://t.co/YQjlrfp8zl,2022,2,15
37,2,1492215151415771139,2022-02-11T19:13:10.000Z,"I’m incredibly honored to be named among several extraordinary leaders on @AtlantaMagazine’s 500 Most Powerful Leaders in 2022 list. Atlanta is full of many brilliant and talented changemakers, and it’s a privilege to work alongside them in this community. https://t.co/hvFnP07z5n",2022,2,11
