,index,id,created_at,text,year,month,day
0,0,1403071436911263752,2021-06-10T19:27:53.000Z,"@wth1051 Hello, we are sorry to see your service was missed. Please direct message your complete service address, and we will follow up. Thank you. ^sr",2021,6,10
1,1,1402675401055428622,2021-06-09T17:14:10.000Z,"It was great speaking with @NelsonSchwartz, along with WM Chief People Officer @OatesTamla, about WM’s one-of-a-kind Your Tomorrow benefit. New to our talent retention program, it’s one of the many competitive benefits that makes WM a great place to work. https://t.co/2Eiq54MQMX",2021,6,9
2,0,1392953012264611847,2021-05-13T21:20:52.000Z,I'm so proud of @WasteManagement Chief People Officer Tamla Oates-Forney and the entire People Team here at WM who made this program and partnership with @GuildEducation possible. https://t.co/32B6ozgtvw,2021,5,13
3,0,1385293503832289282,2021-04-22T18:04:43.000Z,"RT @WasteManagement: This year for #EarthDay, we're working with @NationalForests and @TreeCanada to plant up to 50,000 trees to celebrate…",2021,4,22
4,0,1385293503832289282,2021-04-22T18:04:43.000Z,"RT @WasteManagement: This year for #EarthDay, we're working with @NationalForests and @TreeCanada to plant up to 50,000 trees to celebrate…",2021,4,22
5,0,1364326592676249601,2021-02-23T21:29:42.000Z,"Very pleased to see @WasteManagement named to @Ethisphere's #WorldsMostEthicalCompanies today. I'm proud of our entire organization for contributing to this award. To read more, visit the link below. https://t.co/tH9qa4LWFF",2021,2,23
6,1,1362862818182242304,2021-02-19T20:33:11.000Z,Thanks for having me on @YahooFinance. Always a pleasure to speak with @AlexisTVNews to share @WasteManagement strong earnings performance. https://t.co/TeLaIfA1VO,2021,2,19
7,2,1362529997026709508,2021-02-18T22:30:40.000Z,"WM performed exceptionally well in 2020, despite the difficulties presented by COVID-19, and we are poised for another strong year in 2021. For that, I’m eternally grateful to our teammates who delivered these results. See our earnings here: https://t.co/QH2BWDC4cr",2021,2,18
8,3,1356610829077078022,2021-02-02T14:30:00.000Z,I'm proud to see @WasteManagement on @FortuneMagazine's 2021 list of the Most Admired Companies. I want to express my gratitude to all of our team members and customers that make Waste Management the company that it is. #MostAdmiredCos https://t.co/py2SylbCyt,2021,2,2
9,0,1353757305255374851,2021-01-25T17:31:07.000Z,2020 was a year of challenges—no question about it. But from that disruption came change. And I’m proud to have John Morris by my side as COO as @WasteManagement continues to stay resilient in the face of change. #SWANA #WASTECON https://t.co/ZluDDeOPXr,2021,1,25
10,1,1352680168310116354,2021-01-22T18:10:58.000Z,Waste Management is committed to taking bold steps to do our part to solve man-made environmental problems—and we’ve set the bar high for ourselves. The people and planet we serve deserve our boldest thinking and best efforts on climate action. https://t.co/viXxtGBMiS,2021,1,22
11,0,1344721930230910977,2020-12-31T19:07:46.000Z,"Reflecting on 2020, I’m thankful for our WM family, including the strength and dedication of our team members and the support of our neighbors along the way to create a sustainable tomorrow. Happy New Year! https://t.co/mW0urXpXdw",2020,12,31
12,1,1343639365600350208,2020-12-28T19:26:03.000Z,"I am ever thankful looking back at these moments of widespread support, gratitude and joy experienced in our communities. I am continuously amazed by the passion and talent of our WM team members and am honored to have the opportunity to support them in serving our communities. https://t.co/AbjiXzOKGw",2020,12,28
13,0,1336783058960326659,2020-12-09T21:21:32.000Z,It’s an honor to be recognized among the leading companies taking strategic and transparent sustainable actions to preserve the environment and generate long term value for the economy. #CDPAList https://t.co/ZolSTbBa56 https://t.co/fbHFbiJzWj,2020,12,9
14,0,1331034134005886977,2020-11-24T00:37:21.000Z,"@shawnlutz509 @shawnlutz509 It’s a good point. Food and yard debris make up over a third of the material, by weight, that we manage for our customers. Even when food is no longer safe for human consumption, it still has tremendous value as a source of compost and energy.",2020,11,24
15,1,1331033260558790657,2020-11-24T00:33:53.000Z,@charmainesnames @charmainesnames Great questions. WM’s #RecycleRight consumer education program has helped reduce contamination levels at our facilities from 24% to ~19%. Supporting brands that utilize recycled content also helps the economics and values of recycled materials.,2020,11,24
16,2,1328398855721930752,2020-11-16T18:05:42.000Z,Thank you @EbenShapiro for the opportunity to discuss the innovations happening at Waste Management with @TIME. https://t.co/pOGCLitgci,2020,11,16
17,0,1323423806711570432,2020-11-03T00:36:38.000Z,Thanks for inviting me @MadMoneyOnCNBC @JimCramer to talk Q3 earnings. Feeling extremely proud of our team’s contribution toward a strong quarter. https://t.co/Kex09tb4k8,2020,11,3
18,1,1322167862283259904,2020-10-30T13:25:57.000Z,Today is an exciting day for the WM family! @WasteManagement has closed on the acquisition of Advanced Disposal. Excited to welcome our new team members and customers to the WM family! https://t.co/pQFrvMGuhT,2020,10,30
19,2,1319374955897815040,2020-10-22T20:27:56.000Z,Proud to share the work of our WM team members in the recently released 2020 Sustainability Report. Learn how we work for a sustainable tomorrow here: https://t.co/bsvCSafoZe  #WMSustainability https://t.co/KXwtxwYC6U,2020,10,22
20,0,1319374955897815040,2020-10-22T20:27:56.000Z,Proud to share the work of our WM team members in the recently released 2020 Sustainability Report. Learn how we work for a sustainable tomorrow here: https://t.co/bsvCSafoZe  #WMSustainability https://t.co/KXwtxwYC6U,2020,10,22
21,0,1305953155516174343,2020-09-15T19:34:30.000Z,We are a diverse family and it is the richness of our diversity that makes us strong. ¡Feliz mes de la Herencia Hispana! https://t.co/lv7tKuMuxi,2020,9,15
22,1,1305537040008785920,2020-09-14T16:01:00.000Z,"I am proud to be a part of the #CEOAction for Diversity &amp; Inclusion and join 1,000+ leaders committing to changing the workplace for the better. Read the pledge at https://t.co/URhz0VZIkI https://t.co/1DO0c1MwH9",2020,9,14
23,2,1303710251292688384,2020-09-09T15:02:00.000Z,I’m grateful to those who've recently joined me in discussing the hard realities of injustice and inequality in our world. Our leadership team has been hard at work asking ourselves: ‘Where do we go from here?’ Here's where we stand and where we’re headed: https://t.co/z4vBGtD9yR,2020,9,9
24,0,1298636325223104512,2020-08-26T15:00:02.000Z,"Thank you @Edgecliffe and @naumanbilly for the opportunity to discuss how WM is taking a people-first approach to managing the impact of the pandemic on our own people, our customers and our business. https://t.co/zPvfraKrX7",2020,8,26
