symbol,name,CEO_name,twitter_handle,link,sector,year_extracted
MMM,3M,Mike Roman,-,,Industrial Conglomerates,
AOS,A. O. Smith,Kevin J. Wheeler,-,,Building Products,
ABT,Abbott,Robert Ford,-,,Health Care Equipment,
ABBV,AbbVie,Richard A. Gonzalez,-,,Pharmaceuticals,
ACN,Accenture,Julie Sweet,@JulieSweet,https://twitter.com/JulieSweet,IT Consulting & Other Services,
ATVI,Activision Blizzard,Bobby Kotick,@BobbyKotick,https://twitter.com/BobbyKotick,Interactive Home Entertainment,
ADM,ADM,Juan Ricardo Luciano,-,,Agricultural Products,
ADBE,Adobe Inc.,Shantanu Narayen,-,,Application Software,
ADP,ADP,Carlos A. Rodriguez,-,,Data Processing & Outsourced Services,
AAP,Advance Auto Parts,Thomas R. Greco,-,,Automotive Retail,
AES,AES Corporation,Andres Gluski,@AndresGluski,https://twitter.com/AndresGluski,Independent Power Producers & Energy Traders,
AFL,Aflac,Dan Amos,-,,Life & Health Insurance,
A,Agilent Technologies,Michael R. McMullen,-,,Health Care Equipment,
APD,Air Products and Chemicals,Seifi Ghasemi,-,,Industrial Gases,
AKAM,Akamai,Frank Thomson Leighton,@TomLeightonAKAM,https://twitter.com/TomLeightonAKAM,Internet Services & Infrastructure,
ALK,Alaska Air Group,Ben Minicucci,-,,Airlines,
ALB,Albemarle Corporation,J Kent Masters,-,,Specialty Chemicals,
ARE,Alexandria Real Estate Equities,Joel S Marcus,-,,Office REITs,
ALGN,Align Technology,Joseph M. Hogan,-,,Health Care Supplies,
ALLE,Allegion,John H. Stone,-,,Building Products,
LNT,Alliant Energy,John O. Larsen,-,,Electric Utilities,
GOOGL,Alphabet Inc. (Class A),Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai,Interactive Media & Services,
GOOG,Alphabet Inc. (Class C),Sundar Pichai,@sundarpichai,https://twitter.com/sundarpichai,Interactive Media & Services,
MO,Altria,Billy Gifford,-,,Tobacco,
AMZN,Amazon,Andy Jassy,@ajassy,https://twitter.com/ajassy,Internet & Direct Marketing Retail,
AMCR,Amcor,Ron Delia,-,,Paper Packaging,
AMD,AMD,Lisa Su,@LisaSu,https://twitter.com/lisasu,Semiconductors,
AEE,Ameren,Warner L Baxter,-,,Multi-Utilities,
AAL,American Airlines Group,Robert Isom,-,,Airlines,
AEP,American Electric Power,Nick Akins,-,,Electric Utilities,
AXP,American Express,Stephen Squeri,-,,Consumer Finance,
